count;dtBaro
1;703
2;680
3;670
4;672
5;670
6;669
7;668
8;670
9;673
10;670
11;665
12;669
13;668
14;696
15;668
16;674
17;671
18;671
19;668
20;676
21;669
22;669
23;669
24;675
25;671
26;668
27;671
28;668
29;745
30;669
31;670
32;670
33;666
34;669
35;668
36;668
37;669
38;666
39;667
40;668
41;668
42;710
43;702
44;667
45;669
46;669
47;669
48;672
49;671
50;668
51;670
52;669
53;672
54;692
55;702
56;683
57;668
58;701
59;669
60;671
61;668
62;674
63;674
64;668
65;667
66;678
67;675
68;672
69;673
70;671
71;667
72;669
73;672
74;672
75;668
76;670
77;670
78;671
79;694
80;673
81;670
82;671
83;769
84;685
85;681
86;671
87;672
88;685
89;671
90;673
91;669
92;670
93;670
94;670
95;671
96;669
97;673
98;670
99;675
100;669
101;679
102;688
103;684
104;670
105;668
106;673
107;669
108;671
109;667
110;671
111;671
112;671
113;667
114;673
115;674
116;675
117;679
118;672
119;674
120;707
121;690
122;680
123;679
124;681
125;676
126;669
127;671
128;670
129;673
130;668
131;670
132;697
133;669
134;674
135;669
136;668
137;669
138;667
139;676
140;672
141;670
142;670
143;669
144;672
145;671
146;669
147;674
148;669
149;668
150;670
151;680
152;676
153;668
154;672
155;672
156;668
157;672
158;669
159;670
160;676
161;669
162;691
163;667
164;675
165;666
166;668
167;667
168;672
169;669
170;669
171;671
172;668
173;668
174;667
175;670
176;667
177;692
178;670
179;667
180;670
181;669
182;669
183;672
184;669
185;670
186;668
187;669
188;670
189;668
190;670
191;669
192;694
193;673
194;675
195;668
196;669
197;665
198;675
199;669
200;671
201;671
202;670
203;669
204;667
205;675
206;672
207;666
208;668
209;670
210;670
211;668
212;670
213;674
214;674
215;668
216;671
217;667
218;669
219;668
220;668
221;674
222;665
223;674
224;670
225;668
226;665
227;670
228;667
229;672
230;665
231;673
232;674
233;671
234;668
235;674
236;677
237;669
238;675
239;672
240;672
241;669
242;680
243;666
244;667
245;669
246;667
247;672
248;669
249;673
250;671
251;680
252;669
253;666
254;668
255;669
256;670
257;667
258;669
259;669
260;669
261;667
262;671
263;668
264;669
265;673
