count;dtLSM
1;1148
2;1095
3;1133
4;1086
5;1116
6;1084
7;1086
8;1086
9;1081
10;1085
11;1102
12;1086
13;1103
14;1116
15;1084
16;1111
17;1082
18;1082
19;1094
20;1081
21;1084
22;1081
23;1100
24;1088
25;1081
26;1104
27;1084
28;1081
29;1110
30;1106
31;1103
32;1144
33;1087
34;1086
35;1083
36;1086
37;1102
38;1111
39;1089
40;1082
41;1086
42;1085
43;1084
44;1083
45;1134
46;1082
47;1084
48;1082
49;1082
50;1101
51;1085
52;1121
53;1084
54;1086
55;1101
56;1083
57;1084
58;1101
59;1085
60;1087
61;1080
62;1087
63;1087
64;1084
65;1133
66;1086
67;1083
68;1088
69;1097
70;1107
71;1106
72;1106
73;1085
74;1083
75;1098
76;1083
77;1082
78;1100
79;1087
80;1084
81;1087
82;1115
83;1083
84;1121
85;1084
86;1087
87;1079
88;1084
89;1086
90;1084
91;1119
92;1085
93;1084
94;1088
95;1090
96;1085
97;1134
98;1084
99;1085
100;1081
101;1107
102;1087
103;1080
104;1094
105;1104
106;1081
107;1085
108;1109
109;1108
110;1120
111;1087
112;1084
113;1080
114;1108
115;1085
116;1085
117;1104
118;1106
119;1083
120;1092
121;1086
122;1085
123;1133
124;1085
125;1106
126;1081
127;1094
128;1084
129;1086
130;1089
131;1177
132;1131
133;1085
134;1103
135;1085
136;1137
137;1105
138;1079
139;1125
140;1082
141;1087
142;1084
143;1088
144;1110
145;1083
146;1109
147;1084
148;1088
149;1094
150;1099
151;1105
152;1098
153;1087
154;1086
155;1084
156;1084
157;1109
158;1084
159;1131
160;1088
161;1087
162;1090
163;1102
164;1082
165;1158
166;1082
167;1085
168;1082
169;1088
170;1107
171;1083
172;1089
173;1085
174;1083
175;1088
176;1109
177;1084
178;1104
179;1083
180;1084
181;1085
182;1086
183;1084
184;1079
185;1092
186;1099
187;1086
188;1082
189;1084
190;1127
191;1135
192;1106
193;1081
194;1084
195;1082
196;1098
197;1082
198;1115
199;1084
200;1084
201;1088
202;1111
203;1082
204;1106
205;1087
206;1088
207;1109
208;1086
209;1084
210;1081
211;1084
212;1120
213;1090
214;1083
215;1086
216;1088
217;1112
218;1084
219;1085
220;1085
221;1084
222;1089
223;1087
224;1083
225;1144
226;1087
227;1083
228;1082
229;1079
230;1089
231;1080
232;1088
233;1087
234;1095
235;1084
236;1085
237;1088
238;1085
239;1088
240;1083
241;1089
242;1079
243;1099
244;1084
245;1089
246;1082
247;1093
248;1082
249;1083
250;1082
251;1107
252;1092
253;1085
254;1085
255;1083
256;1089
257;1081
258;1090
259;1084
260;1083
261;1089
262;1081
263;1096
264;1102
265;1084
266;1091
267;1083
268;1087
269;1087
270;1084
271;1087
272;1089
273;1138
274;1392
275;1336
276;1083
277;1088
278;1081
279;1082
280;1083
281;1085
282;1090
283;1080
284;1086
285;1087
286;1086
287;1082
288;1092
289;1462
290;1335
291;1088
292;1086
293;1108
294;1093
295;1083
296;1084
297;1083
298;1087
299;1081
300;1090
301;1084
302;1086
303;1092
304;1093
305;1222
306;1433
307;1341
308;1086
309;1082
310;1083
311;1084
312;1085
313;1088
314;1110
315;1085
316;1083
317;1081
318;1084
319;1088
320;1133
321;1395
322;1353
323;1086
324;1083
325;1082
326;1085
327;1089
328;1084
329;1083
330;1083
331;1086
332;1084
333;1092
334;1084
335;1133
336;1463
337;1342
338;1086
339;1086
340;1086
341;1085
342;1085
343;1086
344;1085
345;1092
346;1083
347;1092
348;1085
349;1082
350;1094
351;1476
352;1330
353;1080
354;1085
355;1084
356;1146
357;1099
358;1098
359;1086
360;1086
361;1088
362;1089
363;1081
364;1114
365;1088
366;1083
367;1091
368;1147
369;1209
370;1502
371;1472
372;1091
373;1085
374;1083
375;1085
376;1082
377;1085
378;1081
379;1089
380;1083
381;1085
382;1082
383;1086
384;1085
385;1110
386;1079
387;1086
