count;dtMPU
1;763
2;720
3;716
4;716
5;723
6;715
7;713
8;716
9;720
10;717
11;773
12;929
13;870
14;755
15;716
16;716
17;714
18;714
19;711
20;715
21;713
22;720
23;717
24;716
25;714
26;713
27;714
28;908
29;868
30;756
31;716
32;896
33;713
34;725
35;722
36;717
37;716
38;901
39;714
40;716
41;718
42;716
43;717
44;747
45;960
46;1138
47;908
48;756
49;714
50;714
51;716
52;717
53;715
54;719
55;715
56;715
57;715
58;719
59;718
60;717
61;715
62;887
63;874
64;756
65;714
66;716
67;711
68;716
69;715
70;716
71;712
72;717
73;713
74;713
75;714
76;737
77;721
78;949
79;869
80;759
81;718
82;719
83;729
84;722
85;714
86;712
87;721
88;713
89;712
90;757
91;717
92;717
93;717
94;870
95;851
96;762
97;714
98;713
99;722
100;715
101;753
102;946
103;808
104;793
105;803
106;798
107;833
108;811
109;800
110;789
111;801
112;917
113;974
114;1121
115;948
116;888
117;791
118;790
119;791
120;790
121;811
122;807
123;791
124;839
125;790
126;804
127;788
128;790
129;789
130;804
131;787
132;783
133;939
134;948
135;1118
136;953
137;862
138;789
139;791
140;795
141;789
142;789
143;791
144;790
145;791
146;838
147;785
148;791
149;790
150;791
151;816
152;791
153;789
154;934
155;967
156;1097
157;1106
158;952
159;900
160;794
161;790
162;796
163;791
164;788
165;793
166;789
167;790
168;792
169;789
170;791
171;791
172;789
173;792
174;789
175;945
176;1035
177;1088
178;953
179;881
180;792
181;790
182;793
183;789
184;790
185;790
186;791
187;792
188;788
189;792
190;792
191;789
192;791
193;787
194;794
195;839
196;946
197;1099
198;949
199;851
200;790
201;790
202;791
203;789
204;794
205;790
206;790
207;791
208;788
209;791
210;790
211;790
212;834
213;790
214;790
215;812
216;968
217;1098
218;948
219;847
220;792
221;790
222;830
223;790
224;791
225;789
226;789
227;790
228;789
229;820
230;804
231;816
232;831
233;806
234;871
235;808
236;943
237;1056
238;1102
239;1024
240;843
241;827
242;814
243;804
244;808
245;813
246;803
247;810
248;832
249;801
250;813
251;802
252;801
253;815
254;801
255;833
256;812
257;801
258;962
259;1019
260;1139
261;983
262;864
263;829
264;789
265;804
266;868
267;804
268;858
269;820
270;807
271;855
272;825
273;807
274;822
275;821
276;804
277;856
278;806
279;804
280;994
281;908
282;1132
283;1096
284;970
285;849
286;799
287;820
288;806
289;801
290;820
291;803
292;811
293;819
294;820
295;814
296;853
297;806
298;899
299;824
300;805
301;854
302;821
303;1002
304;976
305;1038
306;1146
307;1093
308;1172
309;1120
310;1158
311;1104
312;1031
313;890
314;840
315;827
316;801
317;815
318;804
319;803
320;822
321;803
322;811
323;853
324;802
325;821
326;819
327;820
328;845
329;789
330;824
331;953
332;1028
333;1049
334;1116
335;946
336;912
337;825
338;846
339;831
340;804
341;854
342;828
343;801
344;856
345;804
346;799
347;822
348;803
349;803
350;820
351;804
352;855
353;823
354;837
355;1006
356;1124
357;1145
358;1094
359;944
360;853
361;835
362;814
363;844
364;806
365;890
366;817
367;789
368;851
369;824
370;833
371;819
372;808
373;830
374;825
375;796
376;803
377;816
378;787
379;991
380;1042
381;1147
382;1095
383;945
384;870
385;791
386;819
387;791
388;819
389;815
390;801
391;813
392;805
393;803
394;820
395;819
396;789
397;829
398;804
399;857
400;824
401;803
402;1020
403;966
404;1146
405;1115
406;1134
407;1103
408;1153
409;1167
410;1153
411;1106
412;985
413;905
414;820
415;802
416;828
417;817
418;806
419;827
420;819
421;819
422;857
423;818
424;765
425;818
426;819
427;793
428;805
429;861
430;820
431;962
432;959
433;1117
434;1154
435;1102
436;946
437;958
438;789
439;852
440;822
441;798
442;821
443;819
444;791
445;846
446;823
447;804
448;821
449;807
450;823
451;819
452;805
453;833
454;821
455;890
456;1011
457;1115
458;1149
459;960
460;912
461;806
462;833
463;820
464;791
465;819
466;814
467;802
468;814
469;808
470;805
471;821
472;802
473;821
474;791
475;850
476;805
477;802
478;997
479;939
480;1081
481;1077
482;971
483;932
484;848
485;820
486;807
487;805
488;821
489;802
490;808
491;857
492;801
493;840
494;819
495;820
496;861
497;788
498;820
499;789
500;805
501;955
502;942
503;1087
504;1092
505;1148
506;1010
507;915
508;802
509;801
510;809
511;823
512;805
513;856
514;818
515;807
516;814
517;821
518;805
519;854
520;829
521;801
522;814
523;808
524;808
525;993
526;943
527;1090
528;1108
529;1114
530;1116
531;986
532;890
533;849
534;826
535;806
536;857
537;825
538;804
539;859
540;828
541;802
542;858
543;805
544;806
545;820
546;804
547;809
548;822
549;804
550;858
551;957
552;1037
553;1123
554;1112
555;988
556;860
557;794
558;820
559;804
560;827
561;819
562;821
563;788
564;820
565;791
566;818
567;818
568;787
569;845
570;803
571;807
572;820
573;804
574;964
575;970
576;1149
577;1080
578;979
579;902
580;805
581;806
582;820
583;805
584;826
585;863
586;805
587;859
588;824
589;806
590;904
591;809
592;804
593;812
594;825
595;804
596;789
597;909
598;949
599;1135
600;1196
601;1143
602;1039
603;861
604;795
605;798
606;806
607;828
608;819
609;802
610;854
611;827
612;808
613;856
614;825
615;803
616;860
617;805
618;816
619;820
620;803
621;933
622;1020
623;1056
624;1167
625;1107
626;990
627;861
628;786
629;790
630;819
631;822
632;813
633;821
634;814
635;801
636;817
637;826
638;789
639;821
640;801
641;787
642;819
643;806
644;855
645;966
646;1040
647;1093
648;982
649;871
650;786
651;819
652;814
653;789
654;826
655;817
656;821
657;789
658;806
659;815
660;804
661;825
662;820
663;819
664;788
665;812
666;792
667;968
668;1033
669;1186
670;1140
671;1145
672;945
673;911
674;826
675;805
676;813
677;804
678;822
679;789
680;860
681;803
682;814
683;814
684;805
685;816
686;866
687;803
688;835
689;813
690;804
691;884
692;1018
693;1002
694;1132
695;965
696;885
697;819
698;890
699;813
700;807
701;903
702;818
703;805
704;821
705;812
706;805
707;826
708;805
709;805
710;822
711;804
712;817
713;798
714;802
715;998
716;1121
717;1148
718;1066
719;969
720;884
721;847
722;821
723;790
724;819
725;814
726;808
727;857
728;805
729;805
730;791
731;819
732;823
733;817
734;791
735;879
736;814
737;789
738;991
739;1060
740;1149
741;1090
742;949
743;922
744;789
745;850
746;824
747;793
748;821
749;819
750;791
751;840
752;802
753;801
754;857
755;805
756;804
757;820
758;802
759;810
760;863
761;846
762;1008
763;1118
764;965
765;864
766;793
767;819
768;788
769;803
770;816
771;804
772;828
773;820
774;806
775;814
776;822
777;806
778;856
779;827
780;804
781;856
782;805
783;959
784;942
785;1106
786;1149
787;1096
788;973
789;851
790;798
791;820
792;805
793;806
794;819
795;803
796;807
797;820
798;819
799;816
800;839
801;805
802;855
803;828
804;807
805;854
806;819
807;821
808;968
809;1092
810;1034
811;889
812;896
813;801
814;803
815;855
816;827
817;803
818;816
819;805
820;804
821;821
822;804
823;817
824;821
825;801
826;824
827;820
828;806
829;979
830;987
831;1152
832;929
833;858
834;886
835;788
836;819
837;813
838;804
839;882
840;817
841;804
842;857
843;825
844;803
845;823
846;805
847;805
848;821
849;803
850;808
851;887
852;988
853;1156
854;1109
855;982
856;863
857;821
858;856
859;801
860;834
861;813
862;804
863;825
864;821
865;819
866;793
867;847
868;805
869;854
870;819
871;802
872;815
873;802
874;868
875;1027
876;1010
877;1150
878;1095
879;970
880;848
881;874
882;827
883;802
884;808
885;819
886;809
887;807
888;820
889;801
890;836
891;816
892;792
893;917
894;820
895;824
896;820
897;814
898;807
899;978
900;1153
901;1124
902;1086
903;957
904;889
905;831
906;789
907;804
908;911
909;804
910;857
911;826
912;803
913;801
914;821
915;805
916;857
917;830
918;803
919;860
920;803
921;807
922;907
923;969
924;1151
925;1092
926;978
927;855
928;790
929;819
930;808
931;815
932;788
933;818
934;789
935;882
936;802
937;827
938;821
939;805
940;857
941;819
942;805
943;815
944;883
945;942
946;1049
947;1093
948;1152
949;967
950;899
951;858
952;832
953;820
954;816
955;832
956;777
957;733
958;746
959;766
960;729
961;716
962;800
963;729
964;867
965;980
966;923
967;863
968;719
969;761
970;756
971;752
972;735
973;796
974;731
975;749
976;772
977;732
978;718
979;899
980;915
981;904
982;833
983;731
984;840
985;754
986;731
987;805
988;783
989;733
990;803
991;733
992;716
993;760
994;730
995;883
996;939
997;859
998;768
999;798
1000;774
1001;716
1002;718
1003;731
1004;790
1005;798
1006;729
1007;790
1008;765
1009;713
1010;916
1011;902
1012;815
1013;848
1014;733
1015;820
1016;757
1017;733
1018;787
1019;800
1020;730
1021;790
1022;796
1023;729
1024;789
1025;954
1026;907
1027;1128
1028;966
1029;834
1030;731
1031;793
1032;758
1033;731
1034;731
1035;793
1036;772
1037;717
1038;773
1039;742
1040;714
1041;773
1042;945
1043;886
1044;884
1045;729
1046;718
1047;812
1048;753
1049;781
1050;741
1051;715
1052;775
1053;791
1054;718
1055;773
1056;876
1057;984
1058;964
1059;877
1060;715
1061;802
1062;731
1063;718
1064;794
1065;734
1066;775
1067;717
1068;739
1069;714
1070;727
1071;945
1072;1112
1073;899
1074;847
1075;731
1076;756
1077;786
1078;731
1079;766
1080;790
1081;729
1082;777
1083;732
1084;767
1085;757
1086;773
1087;1017
1088;981
1089;845
1090;750
1091;730
1092;777
1093;788
1094;770
1095;718
1096;769
1097;729
1098;714
1099;770
1100;716
1101;859
1102;1065
1103;923
1104;843
1105;716
1106;770
1107;733
1108;717
1109;771
1110;714
1111;731
1112;727
1113;730
1114;798
1115;754
1116;820
1117;1151
1118;927
1119;842
1120;713
1121;729
1122;782
1123;732
1124;797
1125;757
1126;731
1127;767
1128;783
1129;731
1130;766
1131;846
1132;1009
1133;922
1134;823
1135;768
1136;772
1137;770
1138;716
1139;799
1140;732
1141;790
1142;757
1143;730
1144;767
1145;788
1146;729
1147;1041
1148;961
1149;843
1150;719
1151;844
1152;755
1153;715
1154;770
1155;730
1156;714
1157;757
1158;716
1159;714
1160;769
1161;812
1162;1059
1163;980
1164;819
1165;801
1166;753
1167;731
1168;770
1169;787
1170;742
1171;752
1172;788
1173;715
1174;775
1175;713
1176;802
1177;1115
1178;930
1179;834
1180;717
1181;775
1182;729
1183;715
1184;772
1185;714
1186;714
1187;771
1188;714
1189;716
1190;772
1191;902
1192;1118
1193;932
1194;845
1195;714
1196;730
1197;772
1198;729
1199;792
1200;754
1201;732
1202;766
1203;789
1204;779
1205;752
1206;810
1207;1003
1208;922
1209;822
1210;743
1211;791
1212;729
1213;744
1214;787
1215;729
1216;792
1217;755
1218;729
1219;767
1220;789
1221;732
1222;1053
1223;888
1224;803
1225;756
1226;730
1227;767
1228;758
1229;729
1230;745
1231;785
1232;730
1233;775
1234;714
1235;723
1236;885
1237;923
1238;842
1239;715
1240;753
1241;771
1242;715
1243;816
1244;729
1245;717
1246;769
1247;730
1248;715
1249;769
1250;811
1251;1065
1252;921
1253;821
1254;745
1255;815
1256;729
1257;792
1258;755
1259;730
1260;768
1261;787
1262;730
1263;769
1264;790
1265;730
1266;987
1267;892
1268;799
1269;754
1270;731
1271;743
1272;832
1273;772
1274;727
1275;794
1276;730
1277;767
1278;788
1279;732
1280;833
1281;1019
1282;888
1283;875
1284;731
1285;743
1286;791
1287;732
1288;769
1289;755
1290;731
1291;757
1292;715
1293;721
1294;757
1295;830
1296;1044
1297;937
1298;823
1299;764
1300;732
1301;769
1302;788
1303;729
1304;767
1305;791
1306;729
1307;718
1308;700
1309;716
1310;898
1311;968
1312;923
1313;823
1314;716
1315;790
1316;754
1317;731
1318;766
1319;790
1320;734
1321;764
1322;792
1323;730
1324;744
1325;796
1326;1018
1327;968
1328;842
1329;714
1330;729
1331;767
1332;762
1333;728
1334;740
1335;729
1336;714
1337;790
1338;730
1339;804
1340;887
1341;1060
1342;900
1343;806
1344;773
1345;715
1346;715
1347;794
1348;716
1349;770
1350;730
1351;718
1352;769
1353;730
1354;715
1355;839
1356;1072
1357;901
1358;848
1359;752
1360;743
1361;791
1362;728
1363;770
1364;713
1365;770
1366;716
1367;714
1368;730
1369;714
1370;886
1371;894
1372;813
1373;717
1374;712
1375;745
1376;715
1377;714
1378;713
1379;716
1380;712
1381;714
1382;715
1383;748
1384;1047
1385;890
1386;718
1387;715
1388;712
1389;715
1390;716
1391;768
1392;716
1393;717
1394;714
1395;716
1396;714
1397;885
1398;891
1399;815
1400;714
1401;715
1402;716
1403;712
1404;716
1405;714
1406;716
1407;787
1408;714
1409;717
1410;711
1411;1022
1412;929
1413;814
1414;728
1415;714
1416;715
1417;712
1418;716
1419;885
1420;719
1421;719
1422;715
1423;715
1424;712
1425;887
1426;887
1427;813
1428;714
1429;714
1430;878
1431;740
1432;715
1433;716
1434;715
1435;714
1436;715
1437;754
1438;715
1439;883
1440;925
1441;717
1442;714
1443;743
1444;715
1445;715
1446;810
1447;713
1448;717
1449;713
1450;714
1451;712
1452;889
1453;885
1454;813
1455;748
1456;713
1457;715
1458;711
1459;716
1460;711
1461;716
1462;717
1463;713
1464;714
1465;712
1466;982
1467;968
1468;815
1469;849
1470;713
1471;714
1472;712
1473;714
1474;716
1475;714
1476;755
1477;716
1478;714
1479;712
1480;885
1481;888
1482;813
1483;715
1484;714
1485;756
1486;714
1487;715
1488;715
1489;716
1490;714
1491;715
1492;826
1493;717
1494;889
1495;889
1496;816
1497;714
1498;717
1499;713
1500;718
1501;716
1502;714
1503;716
1504;713
1505;718
1506;714
1507;716
1508;1004
1509;890
1510;814
1511;713
1512;718
1513;711
1514;715
1515;713
1516;717
1517;714
1518;712
1519;714
1520;714
1521;715
1522;1013
1523;925
1524;935
1525;713
1526;717
1527;730
1528;718
1529;713
1530;713
1531;766
1532;717
1533;715
1534;714
1535;715
1536;975
1537;924
1538;857
1539;750
1540;715
1541;712
1542;717
1543;716
1544;714
1545;712
1546;717
1547;770
1548;716
1549;715
1550;887
1551;918
1552;810
1553;719
1554;779
1555;714
1556;714
1557;714
1558;715
1559;712
1560;717
1561;714
1562;717
1563;878
1564;886
1565;1029
1566;923
1567;814
1568;715
1569;716
1570;845
1571;713
1572;714
1573;715
1574;715
1575;716
1576;715
1577;710
1578;714
1579;883
1580;922
1581;815
1582;714
1583;713
1584;714
1585;715
1586;731
1587;715
1588;715
1589;713
1590;716
1591;714
1592;714
1593;955
1594;885
1595;813
1596;713
1597;714
1598;713
1599;718
1600;714
1601;718
1602;715
1603;713
1604;715
1605;715
1606;716
1607;973
1608;931
1609;944
1610;715
1611;715
1612;712
1613;715
1614;711
1615;715
1616;894
1617;719
1618;715
1619;713
1620;715
1621;879
1622;927
1623;814
1624;713
1625;718
1626;712
1627;714
1628;715
1629;716
1630;714
1631;713
1632;764
1633;715
1634;716
1635;987
1636;925
1637;812
1638;715
1639;731
1640;714
1641;715
1642;713
1643;715
1644;715
1645;715
1646;714
1647;741
1648;785
1649;916
1650;924
1651;814
1652;736
1653;715
1654;719
1655;781
1656;715
1657;715
1658;716
1659;717
1660;714
1661;715
1662;714
1663;887
1664;888
1665;814
1666;719
1667;714
1668;716
1669;714
1670;716
1671;716
1672;713
1673;715
1674;713
1675;718
1676;712
1677;995
1678;950
1679;812
1680;716
1681;712
1682;715
1683;714
1684;714
1685;712
1686;716
1687;892
1688;715
1689;715
1690;716
1691;890
1692;890
1693;811
1694;752
1695;715
1696;714
1697;714
1698;728
1699;713
1700;715
1701;713
1702;715
1703;795
1704;716
1705;888
1706;889
1707;813
1708;714
1709;713
1710;793
1711;716
1712;716
1713;714
1714;715
1715;714
1716;715
1717;715
1718;714
1719;921
1720;925
1721;814
1722;712
1723;717
1724;714
1725;713
1726;901
1727;715
1728;716
1729;712
1730;714
1731;775
1732;715
1733;904
1734;894
1735;814
1736;716
1737;715
1738;716
1739;714
1740;712
1741;715
1742;756
1743;742
1744;716
1745;715
1746;716
1747;936
1748;982
1749;919
1750;717
1751;714
1752;716
1753;716
1754;715
1755;716
1756;750
1757;714
1758;715
1759;716
1760;713
1761;985
1762;926
1763;811
1764;716
1765;714
1766;715
1767;716
1768;714
1769;715
1770;711
1771;716
1772;762
1773;716
1774;715
1775;1029
1776;925
1777;809
1778;714
1779;758
1780;713
1781;715
1782;717
1783;715
1784;713
1785;717
1786;721
1787;715
1788;715
1789;1030
1790;927
1791;811
1792;715
1793;717
1794;715
1795;729
1796;717
1797;714
1798;715
1799;716
1800;714
1801;714
1802;713
1803;1041
1804;888
1805;811
1806;714
1807;715
1808;780
1809;714
1810;714
1811;802
1812;714
1813;716
1814;713
1815;718
1816;713
1817;881
1818;1040
1819;816
1820;716
1821;714
1822;717
1823;713
1824;718
1825;713
1826;716
1827;836
1828;713
1829;716
1830;714
1831;886
1832;894
1833;815
1834;774
1835;718
1836;720
1837;715
1838;720
1839;718
1840;720
1841;718
1842;719
1843;718
1844;717
1845;883
1846;925
1847;816
1848;719
1849;717
1850;906
1851;717
1852;717
1853;722
1854;721
1855;718
1856;748
1857;741
1858;720
1859;888
1860;894
1861;817
1862;719
1863;718
1864;715
1865;721
1866;717
1867;717
1868;765
1869;720
1870;720
1871;716
1872;721
1873;931
1874;931
1875;821
1876;719
1877;718
1878;717
1879;718
1880;719
1881;718
1882;721
1883;716
1884;718
1885;716
1886;720
1887;935
1888;927
1889;929
1890;718
1891;719
1892;718
1893;717
1894;719
1895;717
1896;753
1897;719
1898;721
1899;719
1900;718
1901;1037
1902;927
1903;1249
1904;737
1905;718
1906;717
1907;719
1908;720
1909;752
1910;719
1911;720
1912;801
1913;719
1914;720
1915;718
1916;1043
1917;927
1918;821
1919;716
1920;719
1921;718
1922;719
1923;719
1924;715
1925;725
1926;729
1927;722
1928;762
1929;719
1930;893
1931;892
1932;817
1933;719
1934;775
1935;850
1936;721
1937;720
1938;720
1939;719
1940;721
1941;719
1942;743
1943;720
1944;846
1945;1084
1946;923
1947;825
1948;817
1949;793
1950;745
1951;722
1952;724
1953;718
1954;718
1955;717
1956;719
1957;719
1958;761
1959;719
1960;1033
1961;927
1962;854
1963;722
1964;722
1965;812
1966;719
1967;719
1968;718
1969;718
1970;717
1971;721
1972;726
1973;719
1974;894
1975;892
1976;818
1977;717
1978;722
1979;717
1980;720
1981;721
1982;719
1983;719
1984;720
1985;724
1986;757
1987;719
1988;920
1989;886
1990;816
1991;719
1992;719
1993;717
1994;723
1995;721
1996;719
1997;719
1998;708
1999;720
2000;717
2001;764
2002;1035
2003;933
2004;860
2005;719
2006;920
2007;1098
2008;808
2009;796
2010;797
2011;796
2012;797
2013;799
2014;797
2015;795
2016;791
2017;794
2018;793
2019;792
2020;793
2021;799
2022;810
2023;793
2024;794
2025;797
2026;793
2027;798
2028;796
2029;797
2030;842
2031;793
2032;792
2033;794
2034;795
2035;802
2036;827
2037;798
2038;795
2039;800
2040;797
2041;794
2042;852
2043;793
2044;794
2045;794
2046;793
2047;815
2048;796
2049;879
2050;804
2051;815
2052;796
2053;796
2054;794
2055;795
2056;799
2057;796
2058;791
2059;828
