count;dtTot
1;2532
2;1949
3;1875
4;1540
5;1483
6;1437
7;1462
8;1467
9;1445
10;1432
11;1492
12;1439
13;1448
14;1460
15;1472
16;1455
17;1456
18;1465
19;1441
20;1464
21;1469
22;1435
23;1484
24;1630
25;1621
26;1513
27;1668
28;1649
29;1654
30;1497
31;1507
32;1638
33;1618
34;1504
35;1613
36;1621
37;1628
38;1646
39;1488
40;1615
41;1709
42;1637
43;1559
44;1601
45;1638
46;1630
47;1554
48;1471
49;1586
50;1535
51;1527
52;1578
53;1466
54;1555
55;1547
56;1575
57;1528
58;1535
59;1523
60;1584
61;1528
62;1540
63;1538
64;1530
65;1583
66;1580
67;1469
68;1534
69;1535
70;1689
71;1717
72;1725
73;1691
74;1697
75;1704
76;1704
77;1685
78;1653
79;1543
80;1694
81;1518
82;1522
83;1622
84;1539
85;1528
86;1575
87;1722
88;1576
89;1586
90;1669
91;1740
92;1662
93;1605
94;1600
95;1581
96;1575
97;1638
98;1694
99;1693
100;1742
101;1590
102;1579
103;1698
104;1695
105;1526
106;1693
107;1659
108;1578
109;1554
110;1542
111;1535
112;1560
113;1556
114;1598
115;1600
116;1538
117;1494
118;1550
119;1537
120;1549
121;1686
122;1567
123;1592
124;1556
125;1556
126;1536
127;1559
128;1614
129;1540
130;1600
131;1645
132;1623
133;1613
134;1520
135;1687
136;1594
137;1558
138;1551
139;1538
140;1613
141;1547
142;1540
143;1583
144;1731
145;1578
146;1733
147;1718
148;1714
149;1675
150;1577
151;1733
152;1684
153;1696
154;1530
155;1535
156;1555
157;1609
158;1563
159;1592
160;1679
161;1549
162;1631
163;1743
164;1583
165;1588
166;1641
167;1695
168;1645
169;1576
170;1636
171;1686
172;1691
173;1570
174;1608
175;1696
176;1702
177;1572
178;1571
179;1549
180;1669
181;1590
182;1683
183;1637
184;1713
185;1711
186;1690
187;1599
188;1600
189;1623
190;1547
191;1544
192;1589
193;1691
194;1722
195;1612
196;1578
197;1595
198;1545
199;1562
200;1557
201;1659
202;1705
203;1631
204;1621
205;1719
206;1623
207;1670
208;1652
209;1609
210;1731
211;1555
212;1531
213;1545
214;1568
215;1579
216;1533
217;1669
218;1611
219;1669
220;1630
221;1635
222;1633
223;1664
224;1632
225;1681
226;1704
227;1701
228;1675
229;1701
230;1538
231;1563
232;1547
233;1545
234;1588
235;1609
236;1564
237;1538
238;1557
239;1551
240;1682
241;1658
242;1676
243;1696
244;1637
245;1649
246;1658
247;1718
248;1748
249;1646
250;1693
251;1638
252;1697
253;1644
254;1635
255;1644
256;1644
257;1691
258;1654
259;1649
260;1673
261;1653
262;1682
263;1663
264;1661
265;1665
266;1701
267;1706
268;1681
269;1651
270;1669
271;1651
272;1709
273;1698
274;1651
275;1648
276;1659
277;1650
278;1718
279;1693
280;1716
281;1669
282;1678
283;1676
284;1765
285;1689
286;1652
287;1647
288;1663
289;1657
290;1702
291;1694
292;1647
293;1659
294;1692
295;1694
296;1681
297;1679
298;1666
299;1657
300;1653
301;1726
302;1662
303;1656
304;1670
305;1643
306;1640
307;1640
308;1797
309;1671
310;1696
311;1669
312;1533
313;1298
314;1277
315;1259
