count;dtBaro
1;2480
2;3223
3;3170
4;3293
5;3292
6;3170
7;3325
8;3277
9;3201
10;3292
11;3141
12;3201
13;3293
14;3139
15;2956
16;3292
17;3292
18;3049
19;3292
20;3292
21;3170
22;3329
23;3202
24;3292
25;3292
26;3097
27;3232
28;3323
29;3096
30;2864
31;3186
32;3292
33;3230
34;3384
35;3292
36;3227
37;3294
38;3200
39;3292
40;3294
41;3139
42;3230
43;3292
44;3140
45;3231
46;3292
47;3139
48;3349
49;3292
50;3139
51;3260
52;3292
53;3140
54;3233
55;3292
56;3141
57;3262
58;3291
59;3139
60;3201
61;3292
62;3139
63;3232
64;3294
65;3140
66;3199
67;3294
68;3139
69;3265
70;3292
71;3098
72;3230
73;3292
74;3138
75;3240
76;3291
77;3140
78;3301
79;3385
80;3137
81;3150
82;3295
83;3137
84;3243
85;3294
86;3137
87;3271
88;3322
89;3137
90;3242
91;3289
92;3137
93;3212
94;3291
95;3138
96;3240
97;3291
98;3140
99;3293
100;3290
101;3138
102;3230
103;3291
104;3137
105;3199
106;3292
107;3137
108;3229
109;3323
110;3138
111;3198
112;3292
113;3138
114;3332
115;3290
116;3273
117;3289
118;3289
119;3107
120;3320
121;3291
122;3107
123;3291
124;3288
125;3107
126;3292
127;3321
128;3107
129;3289
130;3290
131;3318
132;3258
133;3291
134;3106
135;3320
136;3291
137;3076
138;3289
139;3262
140;3047
141;3350
142;3289
143;3045
144;3228
145;3292
146;3077
147;3260
148;3323
149;3046
150;3292
151;3291
152;3106
153;3198
154;3292
155;3322
156;3153
157;3289
158;3045
159;3219
160;3290
161;3045
162;3319
163;3322
164;3075
165;3259
166;3289
167;3106
168;3199
169;3293
170;3106
171;3292
172;3319
173;3105
174;3197
175;3290
176;3015
177;3147
178;3288
179;3108
180;3321
181;3292
182;3107
183;3260
184;3289
185;3107
186;3289
187;3291
188;3105
189;3290
190;3321
191;3105
192;3198
193;3290
194;3106
195;3229
196;3289
197;3289
198;3143
199;3321
200;3105
201;3227
202;3289
203;3354
204;3389
205;3291
206;2962
207;3290
208;3291
209;3046
210;3196
211;3288
212;3046
213;3350
214;3292
215;3044
216;3350
217;3290
218;3107
219;3197
220;3288
221;3089
222;3197
223;3320
224;3105
225;3321
226;3288
227;3046
228;3319
229;3289
230;3321
231;3191
232;3287
233;3043
234;3352
235;3290
236;3046
237;3194
238;3288
239;3045
240;3316
241;3289
242;3105
243;3382
244;3289
245;3107
246;3220
247;3259
248;3105
249;3271
250;3290
251;3045
252;3389
253;3288
254;3044
255;3303
256;3288
257;3142
258;3158
259;3288
260;3044
261;3195
262;3288
263;3044
264;3258
265;3288
266;3046
267;3286
268;3289
269;3043
270;3165
271;3288
272;3105
273;3197
274;3288
275;3107
276;3227
277;3289
278;3105
279;3288
280;3288
281;3106
282;3228
283;3287
284;3106
285;3290
286;3287
287;3107
288;3227
289;3288
290;3106
291;3287
292;3288
293;3104
294;3328
295;3290
296;3273
297;3321
298;3315
299;3044
300;3381
301;3256
302;3107
303;3240
304;3288
305;3104
306;3206
307;3289
308;3045
309;3320
310;3289
311;3043
312;3315
313;3288
314;3107
315;3283
316;3287
317;3045
318;3305
319;3288
320;3043
321;3193
322;3287
323;3043
324;3317
325;3287
326;3043
327;3288
328;3289
329;3043
330;3259
331;3288
332;3045
333;3287
334;3321
335;3105
336;3257
337;3288
338;3042
339;2692
340;3289
341;3136
342;3239
343;3288
344;3091
345;3227
346;3290
347;3092
348;3259
349;3289
350;3138
351;3075
352;3238
353;3135
354;3257
355;3288
356;3135
357;3227
358;3288
359;3165
360;3195
361;3286
362;3135
363;3147
364;3287
365;3135
366;2890
367;3287
368;3317
369;2892
370;3288
371;3286
372;2922
373;3376
374;3288
375;3082
376;3199
377;3288
378;3136
379;3288
380;3289
381;2921
382;3288
383;3288
384;3040
385;3318
386;3289
387;2922
388;3292
389;3287
390;2921
391;3289
392;3383
393;3196
394;3288
395;3288
396;3197
397;3287
398;3287
399;2802
400;3287
401;3286
402;3073
403;3289
404;3289
405;3073
406;3290
407;3286
408;3043
409;3286
410;3290
411;2815
412;3252
413;3282
414;3257
415;3289
416;3287
417;3072
418;3286
419;3286
420;2885
421;3184
422;3286
423;3045
424;3290
425;3288
426;2967
427;3196
428;3287
429;3207
430;3286
431;3290
432;2966
433;3195
434;3286
435;3100
436;3152
437;3285
438;3042
439;3314
440;3289
441;3043
442;3256
443;3288
444;3210
445;3137
446;3286
447;3104
448;3317
449;3287
450;3554
451;3185
452;3287
453;3001
454;3130
455;3287
456;3042
457;3237
458;3286
459;3043
460;3256
461;3286
462;3104
463;3317
464;3287
465;3043
466;3318
467;3288
468;3254
469;3199
470;3289
471;3104
472;3344
473;3286
474;3023
475;3332
476;3287
477;3042
478;3209
479;3286
480;3042
481;3257
482;3317
483;3042
484;3286
485;3288
486;3043
487;3255
488;3286
489;3304
490;3140
491;3286
492;3042
493;3303
494;3349
495;3103
496;3252
497;3287
498;3042
499;3255
500;3286
501;3209
502;3135
503;3288
504;3043
505;3174
506;3286
507;3103
508;3192
509;3285
510;3103
511;3256
512;3286
513;3102
514;3194
515;3285
516;3104
517;3254
518;3286
519;3326
520;3191
521;3286
522;3105
523;3194
524;3286
525;3271
526;3190
527;3286
528;3102
529;3255
530;3288
531;3103
532;3317
533;3288
534;3043
535;3285
536;3285
537;3103
538;3348
539;3285
540;3041
541;3144
542;3287
543;3103
544;3258
545;3285
546;3105
547;3254
548;3287
549;3103
550;3286
551;3286
552;3101
553;3255
554;3288
555;3103
556;3255
557;3286
558;3104
559;3287
560;3287
561;3104
562;3254
563;3287
564;2961
565;3370
566;3289
567;3105
568;3320
569;3287
570;3104
571;3285
572;3317
573;3103
574;3282
575;3285
576;3103
577;3259
578;3286
579;3101
580;3258
581;3285
582;3102
583;3254
584;3318
585;3103
586;3255
587;3285
588;3102
589;3286
590;3285
591;3103
592;3223
593;3286
594;3103
595;3221
596;3286
597;3136
598;3288
599;3257
600;3102
601;3286
602;3285
603;3318
604;3165
605;3282
606;3102
607;3132
608;3285
609;3061
610;3304
611;3286
612;3102
613;3285
614;3285
615;3104
616;3287
617;3285
618;2650
619;3205
620;3255
621;3133
622;3286
623;3286
624;3134
625;3071
626;3285
627;3133
628;3255
629;3285
630;3134
631;3319
632;3296
633;3133
634;3344
635;3285
636;3135
637;3224
638;3286
639;3134
640;3256
641;3317
642;3132
643;3286
644;3285
645;3134
646;3287
647;3286
648;3132
649;3191
650;3286
651;3088
652;3257
653;3285
654;3359
655;3405
656;3285
657;3103
658;3316
659;3281
660;3102
661;3318
662;3286
663;3103
664;3196
665;3285
666;3102
667;3254
668;3287
669;3103
670;3285
671;3286
672;3102
673;3285
674;3285
675;3103
676;3258
677;3285
678;3102
679;3254
680;3287
681;3102
682;3286
683;3287
684;3286
685;3143
686;3285
687;3104
688;3317
689;3286
690;3102
691;3194
692;3288
693;3101
694;3255
695;3285
696;3102
697;3286
698;3286
699;3102
700;3279
701;3285
702;3102
703;3223
704;3285
705;3103
706;3286
707;3285
708;3098
709;3286
710;3286
711;3102
712;3285
713;3347
714;3103
715;3193
716;3285
717;3102
718;3318
719;3285
720;3104
721;3195
722;3285
723;3102
724;3318
725;3286
726;3103
727;3224
728;3285
729;3101
730;3253
731;3286
732;3101
733;3254
734;3286
735;3102
736;3287
737;3286
738;3101
739;3256
740;3315
741;3103
742;3284
743;3285
744;3357
745;3468
746;3286
747;3145
748;3305
749;3287
750;3095
751;3184
752;3287
753;3040
754;3226
755;3286
756;3040
757;3205
758;3286
759;3069
760;3316
761;3289
762;3270
763;3306
764;3256
765;3103
766;3145
767;3285
768;3041
769;3163
770;3284
771;3683
772;3206
773;3286
774;3227
775;3204
776;3285
777;3083
778;3290
779;3284
780;3099
781;3212
782;3285
783;3213
784;3281
785;3286
786;3289
787;3204
788;3286
789;3077
790;3291
791;3285
792;3088
793;3193
794;3378
795;3041
796;3223
797;3285
798;3041
799;3183
800;3284
801;3390
802;3225
803;3285
804;3259
805;3288
806;3287
807;3074
808;3299
809;3285
810;3134
811;3255
812;3285
813;3286
814;3286
815;3285
816;2965
817;3192
818;3286
819;3011
820;3300
821;3284
822;3115
823;3195
824;3285
825;3043
826;3194
827;3317
828;3041
829;3316
830;3317
831;3037
832;3256
833;3285
834;3252
835;3358
836;3286
837;3083
838;3165
839;3284
840;3040
841;3345
842;3287
843;3042
844;3196
845;3285
846;3041
847;3284
848;3286
849;3040
850;3174
851;3283
852;3104
853;3192
854;3285
855;3102
856;3194
857;3284
858;3101
859;3284
860;3285
861;3097
862;3284
863;3285
864;3103
865;3284
866;3285
867;3115
868;3315
869;3286
870;3103
871;3220
872;3286
873;3288
874;3283
875;3255
876;3099
877;3314
878;3284
879;3285
880;3290
881;3286
882;2960
883;3343
884;3285
885;3040
886;3314
887;3285
888;3101
889;3175
890;3287
891;3039
892;3195
893;3285
894;3100
895;3285
896;3286
897;3304
898;3348
899;3284
900;3039
901;3298
902;3285
903;3041
904;3196
905;3283
906;3102
907;3285
908;3286
909;3103
910;3346
911;3284
912;3147
913;3193
914;3285
915;3041
916;3201
917;3285
918;3102
919;3254
920;3284
921;3073
922;3315
923;3284
924;3070
925;3261
926;3284
927;3287
928;3287
929;3315
930;3040
931;3255
932;3316
933;3041
934;3225
935;3285
936;3041
937;3190
938;3284
939;3104
940;3192
941;3285
942;3103
943;3284
944;3285
945;3101
946;3284
947;3285
948;3102
949;3253
950;3284
951;3105
952;3254
953;4251
954;3164
955;3284
956;3284
957;3103
958;3285
959;3319
960;3043
961;3285
962;3286
963;3101
964;3226
965;3284
966;3042
967;3286
968;3321
969;3077
970;3272
971;3285
972;2983
973;3203
974;3286
975;3163
976;3288
977;3287
978;3033
979;3186
980;3285
981;3164
982;3286
983;3307
984;3018
985;3135
986;3283
987;3101
988;3270
989;3285
990;3042
991;3282
992;3285
993;3102
994;3144
995;3284
996;3101
997;3132
998;3283
999;3286
1000;3202
1001;3280
1002;3040
1003;3253
1004;3285
1005;3102
1006;3316
1007;3283
1008;3101
1009;3315
1010;3283
1011;3103
1012;3254
1013;3285
1014;3050
1015;3278
1016;3309
1017;3045
1018;3376
1019;3285
1020;3070
1021;3254
1022;3284
1023;3102
1024;3256
1025;3285
1026;3098
1027;3192
1028;4082
1029;3256
1030;3286
1031;3283
1032;2951
1033;3254
1034;3284
1035;2968
1036;3187
1037;3284
1038;3020
1039;3195
1040;3283
1041;3163
1042;3299
1043;3071
1044;4599
1045;3284
1046;3285
1047;3131
1048;3287
1049;3287
1050;2979
1051;3284
1052;3285
1053;3102
1054;3285
1055;3283
1056;2887
1057;3286
1058;3285
1059;3256
1060;3350
1061;3889
1062;3163
1063;3287
1064;3285
1065;3249
1066;3283
1067;3195
1068;3282
1069;3283
1070;3131
1071;3172
1072;3283
1073;3134
1074;3142
1075;3285
1076;3407
1077;3263
1078;3283
1079;3286
1080;3190
1081;3283
1082;3104
1083;3315
1084;3285
1085;3134
1086;3225
1087;3283
1088;3133
1089;3223
1090;3283
1091;3132
1092;3284
1093;3283
1094;3284
1095;3142
1096;3284
1097;3131
1098;3224
1099;3284
1100;3129
1101;3224
1102;3285
1103;3132
1104;2966
1105;3339
1106;3900
1107;3227
1108;3283
1109;3269
1110;3219
1111;3284
1112;3103
1113;3254
1114;3285
1115;3100
1116;3223
1117;3284
1118;3100
1119;3283
1120;3285
1121;3677
1122;3242
1123;3285
1124;3165
1125;3358
1126;3285
1127;3085
1128;3285
1129;3285
1130;3087
1131;3155
1132;3317
1133;3273
1134;3278
1135;3285
1136;3220
1137;3303
1138;3283
1139;4994
1140;3283
1141;3132
1142;3223
1143;3283
1144;4554
1145;3311
1146;3283
1147;3224
1148;3234
1149;3284
1150;3368
1151;3243
1152;3322
1153;3253
1154;3385
1155;3371
1156;2883
1157;3207
1158;3373
1159;3256
1160;3255
1161;3348
1162;3892
1163;3316
1164;3283
1165;2883
1166;3284
1167;3286
1168;3134
1169;3283
1170;3284
1171;2949
1172;3284
1173;3283
1174;3101
1175;3284
1176;3315
1177;3250
1178;3283
1179;3283
1180;2949
1181;3285
1182;3285
1183;2856
1184;3285
1185;3283
1186;2842
1187;3315
1188;3287
1189;3161
1190;3284
1191;3284
1192;2920
1193;3293
1194;3076
1195;3288
1196;3350
1197;3284
1198;3134
1199;3314
1200;3285
1201;2920
1202;3228
1203;3286
1204;2979
1205;3204
1206;3283
1207;3286
1208;3284
1209;3282
1210;3194
1211;3441
1212;3285
1213;2874
1214;3279
1215;3283
1216;3193
1217;3283
1218;3343
1219;3286
1220;3284
1221;3285
1222;3100
1223;3288
1224;3283
1225;3101
1226;3284
1227;3284
1228;2869
1229;3253
1230;3284
1231;3039
1232;3265
1233;3283
1234;3042
1235;3285
1236;3285
1237;2868
1238;3255
1239;3314
1240;3021
1241;3283
1242;3284
1243;2951
1244;3206
1245;3286
1246;3001
1247;3185
1248;3283
1249;3680
1250;3237
1251;3284
1252;2921
1253;3379
1254;3285
1255;3208
1256;3437
1257;3285
1258;2916
1259;3254
1260;3286
1261;2918
1262;3282
1263;3282
1264;3324
1265;3284
1266;3284
1267;3254
1268;3285
1269;3131
1270;2761
1271;3207
1272;3284
1273;2886
1274;3283
1275;3283
1276;3101
1277;3314
1278;3255
1279;3100
1280;3283
1281;3284
1282;4788
1283;3284
1284;3073
1285;3318
1286;3284
1287;3205
1288;3190
1289;3314
1290;3268
1291;3335
1292;3286
1293;3339
1294;3214
1295;3286
1296;3078
1297;3504
1298;3203
1299;3023
1300;3132
1301;3286
1302;3039
1303;3314
1304;3284
1305;3069
1306;3284
1307;3314
1308;3304
1309;3278
1310;3313
1311;3103
1312;3221
1313;3282
1314;3038
1315;3134
1316;3281
1317;3041
1318;3162
1319;3283
1320;3100
1321;3192
1322;3283
1323;3101
1324;3314
1325;3284
1326;3099
1327;3190
1328;3285
1329;3100
1330;3351
1331;3284
1332;3102
1333;3192
1334;3283
1335;3102
1336;3284
1337;3284
1338;3101
1339;3284
1340;3314
1341;3100
1342;3253
1343;3314
1344;3101
1345;3254
1346;3286
1347;3101
1348;3223
1349;3285
1350;3101
1351;3343
1352;3283
1353;3100
1354;3254
1355;3285
1356;3161
1357;3224
1358;3283
1359;3102
1360;3253
1361;3283
1362;3100
1363;3315
1364;3283
1365;3102
1366;3253
1367;3285
1368;3100
1369;3253
1370;3284
1371;3102
1372;3222
1373;3284
1374;3090
1375;3367
1376;3341
1377;3270
1378;3217
1379;3284
1380;3039
1381;3346
1382;3283
1383;3100
1384;3221
1385;3283
1386;3039
1387;3315
1388;3384
1389;3377
1390;3287
1391;3315
1392;3042
1393;3286
1394;3284
1395;3104
1396;3286
1397;3283
1398;3034
1399;3181
1400;3283
1401;3040
1402;3216
1403;3286
1404;3272
1405;3279
1406;3314
1407;3113
1408;3279
1409;3284
1410;3081
1411;3284
1412;3283
1413;3040
1414;3277
1415;3283
1416;3041
1417;3201
1418;3284
1419;3039
1420;3228
1421;3316
1422;3072
1423;3223
1424;3314
1425;3270
1426;3278
1427;3284
1428;3040
1429;3347
1430;3315
1431;3308
1432;3244
1433;3284
1434;3078
1435;3138
1436;3284
1437;3039
1438;3341
1439;3313
1440;3038
1441;3348
1442;3282
1443;3039
1444;3216
1445;3285
1446;3039
1447;3285
1448;3283
1449;3038
1450;3130
1451;3283
1452;3101
1453;3192
1454;3284
1455;3285
1456;3140
1457;3285
1458;3102
1459;3314
1460;3284
1461;3100
1462;3253
1463;3285
1464;3017
1465;3112
1466;3268
1467;3090
1468;3250
1469;3285
1470;3270
1471;3277
1472;3283
1473;3100
1474;3345
1475;3286
1476;3100
1477;3253
1478;3284
1479;3100
1480;3314
1481;3283
1482;3265
1483;3159
1484;3283
1485;3100
1486;3283
1487;3284
1488;3102
1489;3284
1490;3284
1491;3099
1492;3283
1493;3352
1494;3099
1495;3192
1496;3284
1497;3299
1498;3190
1499;3282
1500;3099
1501;3405
1502;3281
1503;3036
1504;3191
1505;3310
1506;3342
1507;3170
1508;3343
1509;3099
1510;2832
1511;3299
1512;3084
1513;3299
1514;3264
1515;3084
1516;3297
1517;3268
1518;3084
1519;3298
1520;3270
1521;3083
1522;3329
1523;3267
1524;3083
1525;3360
1526;3267
1527;3085
1528;3238
1529;3265
1530;3084
1531;3267
1532;3266
1533;3084
1534;3296
1535;3265
1536;3085
1537;3268
1538;3609
1539;3087
1540;3301
1541;3269
1542;3086
1543;3298
1544;3269
1545;3085
1546;3298
1547;3267
1548;3085
1549;3177
1550;3269
1551;3056
1552;3269
1553;3269
1554;3086
1555;3294
1556;3298
1557;3084
1558;3267
1559;3270
1560;3084
1561;3295
1562;3268
1563;3085
1564;3238
1565;3268
1566;3085
1567;3268
1568;3268
1569;3086
1570;3300
1571;3303
1572;3086
1573;3329
1574;3269
1575;3084
1576;3329
1577;3267
1578;3087
1579;3301
1580;3267
1581;3085
1582;3298
1583;3269
1584;3084
1585;3300
1586;3270
1587;3087
1588;3240
1589;3269
1590;3084
1591;3298
1592;3270
1593;3299
1594;3208
1595;3270
1596;3084
1597;3237
1598;3329
1599;3086
1600;3308
1601;3267
1602;3081
1603;3238
1604;3269
1605;3084
1606;3054
1607;3214
1608;3115
1609;3209
1610;3269
1611;3115
1612;3267
1613;3269
1614;3117
1615;3239
1616;3269
1617;3118
1618;3179
1619;3269
1620;3118
1621;3211
1622;3268
1623;3117
1624;3008
1625;3269
1626;3269
1627;2928
1628;3219
1629;3269
1630;2963
1631;3270
1632;3292
1633;3038
1634;3269
1635;3268
1636;3239
1637;3269
1638;3272
1639;3117
1640;3269
1641;3269
1642;2886
1643;3233
1644;3269
1645;2888
1646;3272
1647;3271
1648;2864
1649;3223
1650;3270
1651;3246
1652;3269
1653;3265
1654;3024
1655;3269
1656;3269
1657;3026
1658;3550
1659;3268
1660;3116
1661;3238
1662;3269
1663;2856
1664;3263
1665;3269
1666;3025
1667;3270
1668;3269
1669;3025
1670;3270
1671;3268
1672;3025
1673;3270
1674;3269
1675;2957
1676;3285
1677;3269
1678;3054
1679;3125
1680;3269
1681;3026
1682;3240
1683;3269
1684;3025
1685;3188
1686;3269
1687;3086
1688;3300
1689;3268
1690;3249
1691;3208
1692;3269
1693;3087
1694;3179
1695;3270
1696;3087
1697;3240
1698;3268
1699;3084
1700;3300
1701;3274
1702;3086
1703;3238
1704;3270
1705;3088
1706;3271
1707;3270
1708;3086
1709;3270
1710;3272
1711;3087
1712;3302
1713;3271
1714;3089
1715;3301
1716;3271
1717;3086
1718;3270
1719;3270
1720;3087
1721;3239
1722;3270
1723;3119
1724;3240
1725;3272
1726;3118
1727;3147
1728;3269
1729;3089
1730;3301
1731;3269
1732;3117
1733;3238
1734;3708
1735;3109
1736;3327
1737;3270
1738;3117
1739;3240
1740;3270
1741;3085
1742;3300
1743;3270
1744;3087
1745;3300
1746;3272
1747;3327
1748;3240
1749;3271
1750;3301
1751;3272
1752;3269
1753;3026
1754;3302
1755;3272
1756;3027
1757;3157
1758;3269
1759;3087
1760;3239
1761;3271
1762;3087
1763;3302
1764;3267
1765;3087
1766;3333
1767;3241
1768;3256
1769;3269
1770;3270
1771;3088
1772;3332
1773;3270
1774;3087
1775;3239
1776;3271
1777;3087
1778;3271
1779;3270
1780;3115
1781;3323
1782;3271
1783;3088
1784;3240
1785;3271
1786;3088
1787;3241
1788;3272
1789;3088
1790;3333
1791;3270
1792;3087
1793;3300
1794;3272
1795;3304
1796;3302
1797;3270
1798;3087
1799;3180
1800;3270
1801;3289
1802;3271
1803;3271
1804;3088
1805;3147
1806;3271
1807;3272
1808;3157
1809;3271
1810;3308
1811;3238
1812;3270
1813;3088
1814;3177
