count;dtBaro
1;3226
2;3335
3;3274
4;3182
5;3335
6;3274
7;3091
8;3273
9;3274
10;3092
11;3303
12;3276
13;3282
14;3185
15;3274
16;3091
17;3274
18;3274
19;3091
20;3274
21;3275
22;3091
23;3272
24;3274
25;3091
26;3307
27;3273
28;3092
29;3273
30;3273
31;3091
32;3274
33;3275
34;3091
35;3274
36;3274
37;3090
38;3274
39;3275
40;3227
41;3183
42;3274
43;3092
44;3276
45;3273
46;3092
47;3273
48;3273
49;3091
50;3461
51;3277
52;3091
53;3182
54;3274
55;3091
56;3274
57;2707
58;3171
59;3306
60;3277
61;3259
62;3246
63;3275
64;3124
65;3129
66;3305
67;3123
68;3214
69;3276
70;3081
71;3245
72;3273
73;3121
74;3211
75;3275
76;3122
77;3653
78;3304
79;3274
80;3197
81;3275
82;3091
83;3303
84;3274
85;3092
86;3274
87;3274
88;3091
89;3304
90;3275
91;3090
92;3304
93;3274
94;3094
95;3305
96;3273
97;3092
98;3335
99;3273
100;3227
101;3275
102;3274
103;2884
104;3277
105;3274
106;3093
107;3335
108;3276
109;3093
110;3305
111;3274
112;3090
113;3304
114;3274
115;3091
116;3304
117;3274
118;3091
119;3305
120;3275
121;3091
122;3305
123;3275
124;3091
125;3305
126;3274
127;3092
128;3302
129;3278
130;3092
131;3275
132;3275
133;3090
134;3305
135;3275
136;3091
137;3304
138;3275
139;3093
140;3307
141;3274
142;3092
143;3304
144;3306
145;3309
146;3213
147;3320
148;2946
149;3276
150;3274
151;3092
152;3274
153;3275
154;3092
155;3341
156;3275
157;3091
158;3306
159;3275
160;3275
161;3246
162;3274
163;3030
164;3194
165;3275
166;3091
167;3273
168;3275
169;3091
170;3306
171;3274
172;3091
173;3273
174;3275
175;3311
176;3276
177;3275
178;3093
179;3337
180;3275
181;3095
182;3305
183;3243
184;3093
185;3305
186;3274
187;3091
188;3306
189;3275
190;3092
191;3304
192;3271
193;3315
194;3183
195;3276
196;3031
197;3243
198;3275
199;3031
200;3132
201;3275
202;3091
203;3276
204;3276
205;3092
206;3245
207;3275
208;3277
209;3160
210;3275
211;3091
212;3305
213;3275
214;3091
215;3305
216;3274
217;3124
218;3275
219;3274
220;3228
221;3275
222;3274
223;3092
224;3275
225;3276
226;3276
227;3163
228;3275
229;3093
230;3275
231;3274
232;3092
233;3275
234;3277
235;3092
236;3245
237;3349
238;3067
239;3244
240;3275
241;3092
242;3275
243;3276
244;3139
245;3299
246;3276
247;3080
248;3276
249;3276
250;3095
251;3337
252;3275
253;3047
254;3303
255;3275
256;3093
257;3305
258;3301
259;3261
260;3305
261;3273
262;3092
263;3246
264;3280
265;3119
266;3304
267;3276
268;3092
269;3306
270;3275
271;3093
272;3306
273;3307
274;3094
275;3311
276;3274
277;3091
278;3245
279;3277
280;3279
281;3331
282;3275
283;3356
284;3237
285;3309
286;3076
287;3148
288;3275
289;3031
290;3248
291;3276
292;3184
293;3196
294;3274
295;3094
296;3243
297;3277
298;3092
299;3241
300;3307
301;3030
302;3307
303;3278
304;3093
305;3307
306;3275
307;3092
308;3306
309;3275
310;3093
311;3308
312;3308
313;3090
314;3245
315;3275
316;3032
317;3184
318;3274
319;3092
320;3275
321;3276
322;3306
323;3307
324;3274
325;3092
326;3306
327;3351
328;3388
329;3201
330;3307
331;3030
332;3138
333;3309
334;3343
335;3148
336;3277
337;3033
338;3246
339;3276
340;3230
341;3178
342;3305
343;3262
344;3130
345;3276
346;3199
347;3337
348;3276
349;3028
350;3274
351;3275
352;3032
353;3244
354;3275
355;3030
356;3306
357;3278
358;3093
359;3337
360;3275
361;3033
362;3181
363;3276
364;3091
365;3275
366;3276
367;3095
368;3276
369;3277
370;3093
371;3243
372;3278
373;3315
374;3184
375;3275
376;3092
377;3275
378;3279
379;3092
380;3277
381;3276
382;3093
383;3275
384;3277
385;3090
386;3274
387;3277
388;3092
389;3277
390;3277
391;3092
392;3244
393;3276
394;3093
395;3308
396;3276
397;3124
398;3275
399;3276
400;3228
401;3277
402;3276
403;3094
404;3307
405;3276
406;3032
407;3255
408;3275
409;3259
410;3278
411;3274
412;3094
413;3313
414;3274
415;3093
416;3215
417;3069
418;3282
419;3245
420;3276
421;3277
422;3195
423;3276
424;3092
425;3306
426;3276
427;3092
428;3769
429;3275
430;3063
431;3249
432;3277
433;3032
434;3214
435;3310
436;3258
437;3241
438;3277
439;3031
440;3246
441;3277
442;3093
443;3306
444;3399
445;3093
446;3616
447;3276
448;2990
449;3267
450;3343
451;3217
452;3341
453;3277
454;3024
455;3199
456;3275
457;3075
458;3277
459;3309
460;3186
461;3309
462;3276
463;3089
464;3258
465;3278
466;2989
467;3276
468;3276
469;3319
470;3278
471;3276
472;3065
473;3193
474;3277
475;3293
476;3179
477;3275
478;3014
479;3150
480;3277
481;3032
482;3337
483;3277
484;3203
485;3217
486;3276
487;3091
488;3278
489;3277
490;3064
491;3184
492;3277
493;3093
494;3307
495;3276
496;3095
497;3307
498;3276
499;3337
500;3275
501;3276
502;3034
503;3889
504;3277
505;2952
506;3220
507;3063
508;3091
509;3283
510;3309
511;3075
512;3216
513;3276
514;3074
515;3124
516;3276
517;3136
518;3153
519;3276
520;3279
521;3139
522;3276
523;3032
524;3307
525;3278
526;3033
527;3307
528;3279
529;3093
530;3307
531;3273
532;3093
533;3124
534;3277
535;3094
536;3276
537;3276
538;3278
539;3131
540;3278
541;3093
542;3277
543;3276
544;3092
545;3276
546;3277
547;3092
548;3276
549;3278
550;3093
551;3308
552;3275
553;3092
554;3363
555;3308
556;3095
557;3217
558;3278
559;3126
560;3276
561;4075
562;3003
563;3279
564;3306
565;3066
566;3194
567;3276
568;3106
569;3277
570;3276
571;3075
572;3185
573;3277
574;3265
575;3267
576;3374
577;3015
578;3275
579;3277
580;3216
581;3198
582;3277
583;3032
584;3234
585;3277
586;3033
587;3247
588;3310
589;3032
590;3249
591;3279
592;3292
593;3179
594;3302
595;3121
596;3278
597;3008
598;3368
599;3431
600;3277
601;3032
602;3185
603;3278
604;3033
605;3185
606;3248
607;3130
608;3236
609;3289
610;3037
611;3184
612;3276
613;3263
614;3282
615;3276
616;3292
617;3308
618;3300
619;3032
620;3185
621;3309
622;3031
623;3248
624;3277
625;3034
626;3152
627;3309
628;3093
629;3278
630;3276
631;3093
632;3277
633;3244
634;3094
635;3276
636;3275
637;3276
638;3165
639;3280
640;3228
641;3184
642;3278
643;3095
644;3333
645;3278
646;3093
647;3215
648;3277
649;3279
650;3132
651;3274
652;3313
653;3161
654;3278
655;3094
656;3215
657;3278
658;3094
659;3310
660;3277
661;3096
662;3276
663;3278
664;3094
665;3277
666;3276
667;3278
668;3258
669;3277
670;3095
671;3277
672;3277
673;3306
674;3165
675;3276
676;3094
677;3216
678;3278
679;3280
680;3131
681;3279
682;3281
683;3158
684;3277
685;3262
686;3309
687;3277
688;3314
689;3277
690;3281
691;3307
692;3227
693;3310
694;3293
695;3179
696;3277
697;3294
698;3176
699;3277
700;3278
701;3282
702;3277
703;2943
704;3211
705;3278
706;3217
707;3226
708;3276
709;3002
710;3310
711;3278
712;3094
713;3280
714;3309
715;3092
716;3276
717;3276
718;2974
719;3191
720;3276
721;3034
722;3278
723;3306
724;3065
725;3280
726;3276
727;2992
728;3266
729;3276
730;3067
731;3289
732;3280
733;3032
734;3275
735;3279
736;3374
737;3277
738;3276
739;2992
740;3203
741;3341
742;3062
743;3289
744;3279
745;3277
746;3278
747;3279
748;3292
749;3278
750;3276
751;3156
752;3277
753;3276
754;3002
755;3196
756;3276
757;3292
758;3278
759;3308
760;3279
761;3281
762;3308
763;3155
764;3277
765;3306
766;2916
767;3190
768;3278
769;2944
770;3192
771;3276
772;3182
773;3200
774;3306
775;3126
776;3368
777;3276
778;3198
779;3404
780;3308
781;2967
782;3188
783;3277
784;3034
785;3279
786;3275
787;3127
788;3278
789;3306
790;3216
791;3278
792;3278
793;3152
794;3307
795;3277
796;3063
797;3281
798;3309
799;2945
800;3193
801;3303
802;3338
803;3313
804;3307
805;3262
806;3281
807;3276
808;3033
809;3278
810;3276
811;3002
812;3195
813;3276
814;3002
815;3281
816;3276
817;3248
818;3278
819;3275
820;3186
821;3280
822;3277
823;3033
824;3280
825;3275
826;3066
827;3279
828;3276
829;2945
830;3191
831;3278
832;3062
833;3134
834;3276
835;3033
836;3300
837;3277
838;3293
839;3314
840;3277
841;3241
842;3234
843;3307
844;3220
845;3283
846;3279
847;3125
848;3310
849;3276
850;3278
851;3279
852;3308
853;2966
854;3199
855;3276
856;2993
857;3300
858;3278
859;3312
860;3278
861;3276
862;3007
863;3190
864;3276
865;3032
866;3126
867;3309
868;3444
869;3266
870;3277
871;3339
872;3277
873;3275
874;3406
875;3277
876;3277
877;3279
878;3308
879;3277
880;3096
881;3313
882;3276
883;2972
884;3196
885;3276
886;2945
887;3193
888;3276
889;3065
890;3256
891;3274
892;3061
893;3284
894;3280
895;3123
896;3216
897;3954
898;3125
899;3246
900;3795
901;2898
902;3277
903;3277
904;3002
905;3279
906;3276
907;3174
908;3276
909;3276
910;3248
911;3190
912;3522
913;3152
914;3264
915;3311
916;2997
917;3307
918;3279
919;3093
920;3307
921;3276
922;3094
923;3278
924;3276
925;3095
926;3277
927;3276
928;2911
929;3277
930;3277
931;3124
932;3279
933;3277
934;3185
935;3277
936;3247
937;2911
938;3195
939;3275
940;3247
941;3279
942;3276
943;3247
944;3277
945;3279
946;3184
947;3278
948;3276
949;2824
950;3342
951;3277
952;3094
953;3277
954;3276
955;3048
956;3182
957;3277
958;3133
959;3299
960;3278
961;3187
962;3280
963;3276
964;3215
965;3311
966;3276
967;2971
968;3277
969;3273
970;2963
971;3268
972;3277
973;3004
974;3279
975;3309
976;2944
977;3195
978;3276
979;3340
980;3280
981;3276
982;2954
983;3183
984;3342
985;3289
986;3241
987;3308
988;3033
989;3280
990;3276
991;3034
992;2556
993;3182
994;3094
995;3308
996;3276
997;3092
998;3246
999;3279
1000;3277
1001;3188
1002;3275
1003;3094
1004;3347
1005;3308
1006;3094
1007;3153
1008;3341
1009;3096
1010;3215
1011;3244
1012;3094
1013;3277
1014;3307
1015;3093
1016;3310
1017;3276
1018;3093
1019;3245
1020;3278
1021;3093
1022;3276
1023;3462
1024;3309
1025;3307
1026;3229
1027;3095
1028;3340
1029;3278
1030;3270
1031;3292
1032;3277
1033;3260
1034;3307
1035;3277
1036;3066
1037;3280
1038;3335
1039;3007
1040;3194
1041;3247
1042;3032
1043;3208
1044;3277
1045;3034
1046;3246
1047;3309
1048;3294
1049;3274
1050;3279
1051;3033
1052;3308
1053;3275
1054;3095
1055;3285
1056;3277
1057;3032
1058;3277
1059;3277
1060;3232
1061;3319
1062;3276
1063;3282
1064;3279
1065;3305
1066;2996
1067;3205
1068;3305
1069;3062
1070;3287
1071;3278
1072;3156
1073;3279
1074;3280
1075;3122
1076;3169
1077;3276
1078;3033
1079;3277
1080;3276
1081;3033
1082;3246
1083;3276
1084;3093
1085;3248
1086;3277
1087;3293
1088;3292
1089;3307
1090;3035
1091;3286
1092;3276
1093;3033
1094;2979
1095;3277
1096;3068
1097;3196
1098;3332
1099;3120
1100;3246
1101;3276
1102;3094
1103;3276
1104;3277
1105;3094
1106;3246
1107;3279
1108;3095
1109;3247
1110;3277
1111;3094
1112;3307
1113;3276
1114;3097
1115;3245
1116;3278
1117;3093
1118;3248
1119;3309
1120;3260
1121;3186
1122;3276
1123;3096
1124;3247
1125;3276
1126;3095
1127;3247
1128;3278
1129;3124
1130;3247
1131;3279
1132;3094
1133;3308
1134;3307
1135;3093
1136;3247
1137;3368
1138;3137
1139;2853
1140;3249
1141;3124
1142;3185
1143;3276
1144;3124
1145;3247
1146;3277
1147;3124
1148;3216
1149;3277
1150;3124
1151;3307
1152;3279
1153;3125
1154;3248
1155;3309
1156;3124
1157;3884
1158;3312
1159;3317
1160;3190
1161;3280
1162;3319
1163;3314
1164;3311
1165;3250
1166;3313
1167;3310
1168;3311
1169;3280
1170;3280
1171;3341
1172;3314
1173;3282
1174;3189
1175;3311
1176;3281
1177;3310
1178;3279
1179;3311
1180;3282
1181;3310
1182;3278
1183;3343
1184;5610
1185;3248
1186;3279
1187;5776
1188;3290
1189;3277
1190;3156
1191;3280
1192;3280
1193;3280
1194;3279
1195;3309
1196;3339
1197;3281
1198;3279
1199;3095
1200;3278
1201;3280
1202;3433
1203;3278
1204;3280
1205;3035
1206;3277
1207;3278
1208;3278
1209;3280
1210;3312
1211;2868
1212;3240
1213;3280
1214;3034
1215;3277
1216;3278
1217;3094
1218;3280
1219;3277
1220;3095
1221;3279
1222;3277
1223;3096
1224;3281
1225;3278
1226;2942
1227;3196
1228;3423
1229;3256
1230;3309
1231;3277
1232;2941
1233;3198
1234;3307
1235;2974
1236;3310
1237;3278
1238;2991
1239;3270
1240;3277
1241;3115
1242;3208
1243;3278
1244;3033
1245;3174
1246;3277
1247;3311
1248;3391
1249;3279
1250;3054
1251;3286
1252;3278
1253;3094
1254;3295
1255;3279
1256;3094
1257;3265
1258;3279
1259;3036
1260;3228
1261;3277
1262;3033
1263;3248
1264;3278
1265;3035
1266;3309
