count;dtBaro
1;3081
2;3276
3;2864
4;3208
5;3285
6;3186
7;3276
8;3276
9;3033
10;3238
11;3277
12;2902
13;3291
14;3276
15;3034
16;3279
17;3278
18;2945
19;3194
20;3276
21;3006
22;3192
23;2828
24;3095
25;3308
26;3278
27;3096
28;3307
29;3276
30;3095
31;3306
32;3278
33;3246
34;3307
35;3280
36;3063
37;3307
38;3279
39;3200
40;3293
41;3279
42;3064
43;3219
44;3272
45;3095
46;3310
47;3270
48;3096
49;3291
50;3271
51;3034
52;3277
53;3276
54;3093
55;3279
56;3279
57;3094
58;3307
59;3276
60;3034
61;3245
62;3277
63;3094
64;3246
65;3279
66;3095
67;3307
68;3317
69;3094
70;3308
71;3277
72;3033
73;3216
74;3278
75;3096
76;3337
77;3277
78;3033
79;3308
80;3277
81;3091
82;3308
83;3279
84;3094
85;3308
86;3276
87;3033
88;3165
89;3246
90;3094
91;3277
92;3307
93;3093
94;3276
95;3376
96;3095
97;3185
98;3277
99;3091
100;3279
101;3277
102;3095
103;3280
104;3276
105;3095
106;3278
107;3279
108;3094
109;3277
110;3277
111;3096
112;3276
113;3316
114;3094
115;3247
116;3276
117;3094
118;3246
119;3279
120;3094
121;3307
122;3277
123;3093
124;3305
125;3276
126;3132
127;3215
128;3232
129;3087
130;3339
131;3278
132;3096
133;3307
134;3277
135;3124
136;3248
137;3277
138;3094
139;3307
140;3276
141;3094
142;3308
143;3276
144;3125
145;3248
146;3277
147;3125
148;3247
149;3277
150;3127
151;3246
152;3277
153;3124
154;3248
155;3277
156;3094
157;3309
158;3349
159;3118
160;3247
161;3278
162;3278
163;3186
164;3277
165;3126
166;3214
167;3278
168;3093
169;3276
170;3278
171;3095
172;3277
173;3278
174;3096
175;3304
176;3277
177;3127
178;3247
179;3277
180;3125
181;3277
182;3277
183;3124
184;3278
185;3376
186;3152
187;3167
188;3278
189;3094
190;3277
191;3276
192;3094
193;3185
194;3275
195;3106
196;3307
197;3277
198;3216
199;3196
200;3277
201;3277
202;3246
203;3377
204;3095
205;3246
206;3276
207;3094
208;3185
209;3278
210;3277
211;3309
212;3278
213;3277
214;3276
215;3277
216;3170
217;3153
218;3278
219;3217
220;3279
221;3277
222;3168
223;3184
224;3277
225;3216
226;3286
227;3275
228;3306
229;3126
230;3277
231;3200
232;3244
233;3277
234;3034
235;3294
236;3276
237;3033
238;3276
239;3307
240;3036
241;3310
242;3276
243;3036
244;3247
245;3277
246;3033
247;3188
248;3073
249;3155
250;3307
251;3278
252;3094
253;3280
254;3277
255;3279
256;3195
257;3278
258;3095
259;3246
260;3277
261;3095
262;3277
263;3277
264;3095
265;3272
266;3277
267;3093
268;3307
269;3276
270;3094
271;3307
272;3276
273;3093
274;3307
275;2702
276;3174
277;3208
278;3272
279;3124
280;3246
281;3277
282;3124
283;3339
284;3277
285;3125
286;3313
287;3278
288;3125
289;3278
290;3279
291;3124
292;3247
293;3148
294;3120
295;3246
296;3277
297;3124
298;2821
299;3194
300;3278
301;3247
302;3277
303;3278
304;3246
305;3277
306;3280
307;3003
308;3279
309;3277
310;3065
311;3276
312;3342
313;3187
314;3277
315;3278
316;3247
317;3276
318;3127
319;3032
320;3277
321;3277
322;3186
323;3277
324;3277
325;3064
326;3275
327;3277
328;3216
329;3277
330;3278
331;3247
332;3277
333;3124
334;3276
335;3276
336;3125
337;3203
338;3339
339;3290
340;3176
341;3276
342;3125
343;3280
344;3277
345;3258
346;3247
347;3277
348;3123
349;3245
350;3277
351;3307
352;3184
353;3277
354;3125
355;3247
356;3278
357;3126
358;3307
359;3276
360;3124
361;3216
362;3278
363;3125
364;3309
365;3044
366;3150
367;3247
368;3278
369;3308
370;3247
371;3278
372;3124
373;3246
374;3271
375;3126
376;3245
377;3277
378;3124
379;3246
380;3276
381;3124
382;3185
383;3276
384;3321
385;3156
386;3276
387;3125
388;3195
389;3277
390;3124
391;3246
392;3277
393;3124
394;3093
395;3245
396;3280
397;2818
398;3248
399;3279
400;3186
401;3276
402;3278
403;3070
404;3279
405;3277
406;3308
407;3277
408;3278
409;3215
410;3278
411;3126
412;3218
413;3002
414;3247
415;2955
416;3088
417;3279
418;3155
419;3304
420;3279
421;3026
422;3230
423;3279
424;2881
425;3307
426;3277
427;3004
428;3277
429;3359
430;3065
431;3279
432;3278
433;3277
434;3277
435;3276
436;2814
437;3277
438;3278
439;3032
440;3278
441;3278
442;2899
443;3176
444;3279
445;2956
446;3248
447;3278
448;3065
449;3292
450;3770
451;3155
452;3276
453;3286
454;2973
455;3114
456;3278
457;2948
458;3189
459;3276
460;3056
461;3286
462;3277
463;3033
464;3165
465;3277
466;3033
467;3310
468;3278
469;3094
470;3312
471;3276
472;3096
473;3247
474;3333
475;3094
476;3247
477;3278
478;3093
479;3247
480;3279
481;3091
482;3308
483;3272
484;3277
485;3309
486;3275
487;3277
488;3286
489;3271
490;3033
491;3248
492;3277
493;3272
494;3202
495;3277
496;3093
497;3226
498;3277
499;3095
500;3311
501;3277
502;3033
503;3308
504;3277
505;3281
506;3284
507;3276
508;3033
509;3151
510;3278
511;3032
512;3135
513;3291
514;3032
515;3308
516;3289
517;3032
518;3169
519;3346
520;3034
521;3308
522;3278
523;3033
524;3247
525;3106
526;3095
527;3247
528;3248
529;3094
530;3246
531;3279
532;3094
533;3279
534;3277
535;3096
536;3279
537;3277
538;3093
539;3307
540;3277
541;3093
542;3277
543;3276
544;3093
545;3322
546;3278
547;3093
548;3246
549;3309
550;3093
551;3279
552;3277
553;3003
554;3305
555;3276
556;3093
557;3308
558;3277
559;3094
560;3278
561;3233
562;3125
563;3307
564;3374
565;3096
566;3277
567;3280
568;3093
569;3246
570;3279
571;3094
572;3277
573;3277
574;3093
575;3279
576;3277
577;3094
578;3245
579;3277
580;3094
581;3278
582;3277
583;3124
584;3249
585;3276
586;3124
587;3310
588;3278
589;3124
590;3248
591;3278
592;3094
593;3278
594;3278
595;3089
596;3308
597;3277
598;3089
599;3278
600;3277
601;3124
602;3277
603;3277
604;3124
605;3276
606;3276
607;3093
608;3276
609;3347
610;3095
611;3279
612;3278
613;3246
614;3258
615;3278
616;3124
617;3246
618;3277
619;3124
620;3247
621;3279
622;3125
623;3246
624;3278
625;3126
626;3336
627;3277
628;3124
629;3248
630;3274
631;3094
632;3246
633;3277
634;3262
635;3381
636;3277
637;3033
638;3274
639;3278
640;3058
641;3200
642;3279
643;3246
644;3308
645;3278
646;3093
647;3308
648;3277
649;3307
650;3138
651;3278
652;3217
653;3308
654;3345
655;3209
656;3220
657;3276
658;3124
659;3288
660;3278
661;3122
662;3290
663;3277
664;3130
665;3160
666;3277
667;3245
668;3289
669;3278
670;3161
671;3129
672;3308
673;3138
674;3153
675;3277
676;3199
677;3287
678;3278
679;3094
680;3228
681;3279
682;3033
683;3308
684;3276
685;3093
686;3307
687;3399
688;3264
689;3269
690;3277
691;3118
692;3296
693;3278
694;3116
695;3204
696;3277
697;3032
698;3282
699;3344
700;3340
701;3283
702;3278
703;3126
704;3281
705;3279
706;3003
707;3286
708;3278
709;3062
710;3289
711;3276
712;3093
713;3288
714;3278
715;3033
716;3223
717;3277
718;3090
719;3308
720;3278
721;3032
722;3309
723;3278
724;3093
725;3139
726;3308
727;3259
728;3288
729;3276
730;3034
731;3337
732;3278
733;3094
734;3287
735;3277
736;3034
737;3278
738;3277
739;3096
740;3277
741;3279
742;3094
743;3309
744;3343
745;3093
746;3139
747;3278
748;3032
749;3094
750;3278
751;3094
752;3155
753;3277
754;3094
755;3305
756;3281
757;3257
758;3185
759;3278
760;3094
761;3247
762;3310
763;3095
764;3280
765;3307
766;3095
767;3245
768;3277
769;3122
770;3277
771;3277
772;3094
773;3278
774;3275
775;3094
776;3248
777;3278
778;3094
779;3309
780;3277
781;3095
782;3247
783;3278
784;3279
785;3223
786;3278
787;3094
788;3213
789;2797
790;3155
791;3200
792;3277
793;3098
794;3218
795;3277
796;3127
797;3217
798;3277
799;3127
800;2959
801;3269
802;3277
803;3033
804;3279
805;3278
806;3248
807;3278
808;3277
809;3278
810;3277
811;3125
812;3247
813;3278
814;3125
815;3276
816;3363
817;3261
818;3216
819;3272
820;3124
821;3279
822;3273
823;3126
824;3280
825;3269
826;3125
827;3243
828;3277
829;3124
830;3247
831;3279
832;3125
833;3308
834;3316
835;3125
836;3216
837;3278
838;3279
839;3193
840;3277
841;3125
842;3246
843;3278
844;3126
845;3275
846;3277
847;3123
848;3246
849;3278
850;3125
851;3248
852;3278
853;3034
854;2768
855;3196
856;3278
857;2918
858;3338
859;3277
860;3034
861;3217
862;3245
863;3190
864;3309
865;3279
866;3002
867;3277
868;3276
869;3128
870;3279
871;3277
872;3156
873;3278
874;3277
875;2942
876;3247
877;3277
878;2910
879;3319
880;3276
881;2972
882;3277
883;3276
884;2863
885;3243
886;3276
887;3005
888;3278
889;3277
890;2952
891;3185
892;3277
893;3125
894;3280
895;3279
896;3034
897;3293
898;3277
899;3067
900;3279
901;3307
902;2993
903;3177
904;3278
905;3035
906;3356
907;3276
908;3065
909;3196
910;3277
911;3095
912;3176
913;3278
914;3035
915;3155
916;3276
917;3093
918;3185
919;3277
920;3095
921;3246
922;3278
923;3094
924;3348
925;3278
926;3094
927;3247
928;3272
929;3094
930;3278
931;3277
932;3095
933;3277
934;3277
935;3344
936;3160
937;3277
938;3091
939;3246
940;3277
941;3094
942;3277
943;3278
944;3095
945;3279
946;3282
947;3094
948;3277
949;3276
950;3093
951;3277
952;3278
953;3094
954;3247
955;3275
956;3277
957;3195
958;3215
959;3093
960;3309
961;3277
962;3094
963;3308
964;3277
965;3095
966;3307
967;3276
968;3094
969;3059
970;3135
971;3128
972;3310
973;3246
974;3124
975;3183
976;3277
977;3124
978;3249
979;3277
980;3124
981;3307
982;3277
983;3308
984;3249
985;3276
986;3125
987;3245
988;3277
989;3126
990;3246
991;3277
992;3122
993;3246
994;3277
995;3125
996;3335
997;3311
998;3124
999;3308
1000;3280
1001;3124
1002;3307
1003;3277
1004;3093
1005;3246
1006;3277
1007;3094
1008;3310
1009;3277
1010;3094
1011;3308
1012;3279
1013;3097
1014;2953
1015;3241
1016;3084
1017;3217
1018;3279
1019;3124
1020;3217
1021;3277
1022;3214
1023;3197
1024;3277
1025;3126
1026;3311
1027;3277
1028;3124
1029;3310
1030;3279
1031;3127
1032;3277
1033;3278
1034;3126
1035;3216
1036;3276
1037;3282
1038;3193
1039;3279
1040;3126
1041;3216
1042;3276
1043;3127
1044;3276
1045;3278
1046;3120
1047;3433
1048;3276
1049;3121
1050;3246
1051;3276
1052;3124
1053;3245
1054;3277
1055;3185
1056;3246
1057;3279
1058;3126
1059;3278
1060;3308
1061;3094
1062;3277
1063;3278
1064;3277
1065;3215
1066;3276
1067;3095
1068;3308
1069;3279
1070;3125
1071;3246
1072;3277
1073;3125
1074;3249
1075;3277
1076;3125
1077;3277
1078;3276
1079;3126
1080;3245
1081;3277
1082;3094
1083;3309
1084;3277
1085;3095
1086;3391
1087;3278
1088;3125
1089;3247
1090;3276
1091;2973
1092;3308
1093;3277
1094;3216
1095;3255
1096;3278
1097;3094
1098;3277
1099;3276
1100;3280
1101;3188
1102;3308
1103;3277
1104;3156
1105;3369
1106;3218
1107;3194
1108;3275
1109;3277
1110;3307
1111;3276
1112;3168
1113;3244
1114;3276
1115;3168
1116;3136
1117;3307
1118;3218
1119;3165
1120;3276
1121;3218
1122;3307
1123;3277
1124;3110
1125;3294
1126;3277
1127;3094
1128;3144
1129;3278
1130;3034
1131;3135
1132;3276
1133;3096
1134;3246
1135;3277
1136;3094
1137;3277
1138;3279
1139;3095
1140;3311
1141;3277
1142;3097
1143;3280
1144;3277
1145;3096
1146;3277
1147;3276
1148;3095
1149;3310
1150;3338
1151;3094
1152;3248
1153;3278
1154;3096
1155;3247
1156;3279
1157;3093
1158;3280
1159;3277
1160;3097
1161;3310
1162;3308
1163;3094
1164;3243
1165;3277
1166;3095
1167;3307
1168;3278
1169;3094
1170;3308
1171;3276
1172;3096
1173;3307
1174;3277
1175;3094
1176;3363
1177;3280
1178;3094
1179;3247
1180;3276
1181;3094
1182;3244
1183;3310
1184;3094
1185;3279
1186;3276
1187;3279
1188;3194
1189;3278
1190;3094
1191;3246
1192;3278
1193;3095
1194;3278
1195;3330
1196;3095
1197;3247
1198;3277
1199;3094
1200;3074
1201;3279
1202;3094
1203;3246
1204;3276
1205;3307
1206;3278
1207;3278
1208;3094
1209;3245
1210;3277
1211;3094
1212;3339
1213;3279
1214;3094
1215;3246
1216;3277
1217;3095
1218;3308
1219;3276
1220;3095
1221;3246
1222;3277
1223;3094
1224;3309
1225;3276
1226;3095
1227;3308
1228;3275
1229;3096
1230;3309
1231;3276
1232;3125
1233;3248
1234;3277
1235;3094
1236;3308
1237;3276
1238;3095
1239;3308
1240;3298
1241;3096
1242;3337
1243;3277
1244;3094
1245;3230
1246;3183
1247;3094
1248;3308
1249;3276
1250;3095
1251;3308
1252;3277
1253;3096
1254;3276
1255;3277
1256;3094
1257;3308
1258;3278
1259;3095
1260;3278
1261;3277
1262;3093
1263;3308
1264;3740
1265;3386
1266;3684
1267;3276
1268;3035
1269;3279
1270;3280
1271;3034
1272;3311
1273;3278
1274;3003
1275;3278
1276;3278
1277;3066
1278;3278
1279;3272
1280;3129
1281;3309
1282;3271
1283;2976
1284;3278
1285;3279
1286;2993
1287;3266
1288;3277
1289;3124
1290;3228
1291;3277
1292;3269
1293;3204
1294;3277
1295;3034
1296;3145
1297;3308
1298;3033
1299;3247
1300;3277
1301;3308
1302;3164
1303;3277
1304;3095
1305;3246
1306;3279
1307;3095
1308;3308
1309;3276
1310;3094
1311;3307
1312;3277
1313;3033
1314;3309
1315;3139
1316;3027
1317;3246
1318;3246
1319;3094
1320;3308
1321;3278
