count;dtBaro
1;2473
2;2457
3;2468
4;2500
5;2466
6;2479
7;2469
8;2457
9;2471
10;2466
11;2501
12;2463
13;2462
14;2470
15;2493
16;2460
17;2614
18;2515
19;2480
20;3392
21;3356
22;3129
23;3312
24;3280
25;3132
26;3281
27;3284
28;2914
29;3279
30;3315
31;2913
32;3280
33;3281
34;4101
35;3305
36;3128
37;2885
38;3280
39;3306
40;2913
41;3282
42;3278
43;2976
44;3250
45;3282
46;3127
47;3281
48;3281
49;3405
50;3278
51;3280
52;2914
53;3252
54;3280
55;3219
56;3252
57;3280
58;3078
59;3279
60;3282
61;2979
62;3250
63;3343
64;3098
65;3280
66;3384
67;2914
68;3298
69;3279
70;2915
71;3280
72;3313
73;3068
74;3280
75;3280
76;3097
77;3281
78;3283
79;3095
80;3312
81;3279
82;3098
83;3281
84;3282
85;2882
86;3278
87;3282
88;3159
89;3279
90;3280
91;2822
92;3280
93;3280
94;3037
95;3285
96;3280
97;3098
98;3280
99;3318
100;3175
101;3281
102;3280
103;3097
104;3280
105;3283
106;3128
107;3280
108;3280
109;2810
110;3284
111;3356
112;3189
113;3282
114;3281
115;3255
116;3280
117;3128
118;3250
119;3277
120;3128
121;3221
122;3281
123;3129
124;3252
125;3280
126;3314
127;3312
128;3250
129;3295
130;3187
131;3282
132;3128
133;3221
134;3282
135;3127
136;3282
137;3280
138;3129
139;3250
140;3281
141;3282
142;3251
143;3313
144;3129
145;3221
146;3281
147;3128
148;3249
149;3277
150;3127
151;3250
152;3282
153;3282
154;3198
155;3282
156;3101
157;3281
158;3280
159;3099
160;3313
161;3312
162;3007
163;3281
164;3281
165;2656
166;2466
167;2453
168;2767
169;3097
170;3312
171;3247
172;3099
173;3280
174;3280
175;2853
176;3230
177;3280
178;3162
179;3281
180;3282
181;3130
182;3280
183;3281
184;3099
185;3281
186;3281
187;3006
188;3312
189;3281
190;3129
191;3279
192;3280
193;2946
194;3228
195;3279
196;3093
197;3234
198;3282
199;3007
200;3285
201;3270
202;3306
203;3802
204;2942
205;3204
206;3250
207;2885
208;3250
209;3283
210;2944
211;3313
212;3252
213;3066
214;3281
215;3404
216;3098
217;3281
218;4599
219;3319
220;3864
221;3317
222;3285
223;3312
224;3039
225;3283
226;3345
227;3004
228;3204
229;3282
230;2990
231;3304
232;3280
233;3197
234;3286
235;3281
236;3005
237;3279
238;3311
239;3161
240;3140
241;3314
242;3098
243;3221
244;3283
245;3037
246;3343
247;3281
248;3038
249;3280
250;3276
251;3283
252;3283
253;3281
254;2802
255;3251
256;3280
257;3283
258;3284
259;3283
260;3222
261;3281
262;3281
263;3129
264;3281
265;3313
266;3192
267;3281
268;3282
269;3005
270;3283
271;3280
272;3079
273;3281
274;3280
275;3037
276;3250
277;3282
278;3373
279;3281
280;3278
281;3128
282;3280
283;3311
284;2813
285;3281
286;3284
287;3098
288;3280
289;3280
290;2941
291;3321
292;3311
293;3343
294;3281
295;3281
296;3158
297;3280
298;3281
299;3097
300;3279
301;3318
302;3070
303;3281
304;3281
305;2778
306;3346
307;3376
308;3324
309;3279
310;3281
311;3250
312;3284
313;3282
314;3005
315;3200
316;3281
317;3097
318;3281
319;3282
320;3098
321;3282
322;3281
323;2982
324;3281
325;3277
326;2883
327;3199
328;3343
329;3036
330;3202
331;3250
332;3853
333;3280
334;3281
335;3097
336;3426
337;3361
338;3250
339;3280
340;2943
341;3251
342;3281
343;3128
344;3248
345;3283
346;3128
347;3553
348;3280
349;3098
350;3189
351;3282
352;3282
353;3376
354;3281
355;3098
356;3310
357;3285
358;3097
359;3280
360;3249
361;3098
362;3230
363;3315
364;3232
365;3251
366;3280
367;3219
368;3196
369;3279
370;3034
371;3198
372;3280
373;3097
374;3342
375;3280
376;3037
377;3344
378;3274
379;3220
380;3383
381;3356
382;3102
383;3249
384;3280
385;3130
386;3252
387;3281
388;3223
389;3283
390;3282
391;3247
392;3281
393;3283
394;3172
395;3246
396;3281
397;2946
398;3291
399;3292
400;3022
401;3184
402;3373
403;3013
404;3195
405;3280
406;3036
407;3149
408;3275
409;3035
410;3068
411;3282
412;3098
413;3190
414;3282
415;3099
416;3280
417;3281
418;3095
419;3280
420;3280
421;3281
422;3137
423;3311
424;3291
425;3250
426;3328
427;3223
428;3281
429;3039
430;2944
431;3282
432;3280
433;3129
434;3281
435;3280
436;2944
437;3281
438;3282
439;2821
440;3281
441;3280
442;3220
443;3249
444;3281
445;2844
446;3299
447;3280
448;3037
449;3250
450;3740
451;3160
452;3280
453;3280
454;3221
455;3250
456;3283
457;3068
458;3282
459;3281
460;3280
461;3250
462;3280
463;2884
464;3281
465;3281
466;2854
467;3284
468;3282
469;2832
470;3435
471;3353
472;3248
473;3280
474;3129
475;3200
476;3280
477;3084
478;3006
479;3250
480;3280
481;2883
482;3281
483;3282
484;2822
485;5514
486;3221
487;3283
488;3280
489;3037
490;3282
491;3281
492;3191
493;3282
494;3279
495;2959
496;3186
497;3280
498;3032
499;3298
500;3387
501;3103
502;3223
503;3281
504;3084
505;3149
506;3280
507;3035
508;4029
509;3312
510;2943
511;3265
512;3278
513;3007
514;3281
515;3374
516;3108
517;3189
518;3280
519;3038
520;3280
521;3280
522;3128
523;3281
524;3340
525;3282
526;3281
527;3283
528;3160
529;3312
530;3284
531;3036
532;3310
533;3280
534;2976
535;3280
536;3282
537;2855
538;3282
539;3280
540;3128
541;3281
542;3308
543;3219
544;3282
545;3279
546;2836
547;3278
548;3280
549;2913
550;3281
551;3250
552;3158
553;3280
554;3281
555;3096
556;3281
557;3309
558;3160
559;3280
560;3312
561;3293
562;3278
563;3264
564;3312
565;3281
566;3263
567;3252
568;3404
569;3131
570;3160
571;3282
572;3128
573;3249
574;3284
575;3126
576;3285
577;3311
578;3127
579;3188
580;3315
581;3128
582;3188
583;3281
584;3128
585;3251
586;3281
587;3127
588;3219
589;3280
590;3035
591;3403
592;3281
593;3127
594;3218
595;3281
596;3127
597;3282
598;3280
599;3128
600;3220
601;3280
602;3127
603;3220
604;3281
605;3127
606;3308
607;3312
608;3286
609;3285
610;3314
611;3376
612;3315
613;3283
614;3251
615;3284
616;3283
617;3253
618;3284
619;3283
620;3343
621;3282
622;3313
623;3343
624;3315
625;3313
626;3345
627;3283
628;3313
629;3223
630;3313
631;3283
632;3221
633;3345
634;3314
635;3283
636;3285
637;3313
638;3283
639;3313
640;3314
641;3314
642;3282
643;3281
644;3345
645;3313
646;3314
647;3284
648;3282
649;3029
650;3448
651;3367
652;3272
653;3314
654;3282
655;3280
656;3315
657;3315
658;3282
659;3316
660;3312
661;3375
662;3284
663;3312
664;3344
665;3312
666;3317
667;3009
668;3282
669;3313
670;3343
671;3284
672;3313
673;3222
674;3282
675;3313
676;3221
677;3285
678;3315
679;3284
680;3282
681;3282
682;3250
683;3312
684;3312
685;3282
686;3281
687;3282
688;3250
689;3312
690;3313
691;3249
692;3281
693;3098
694;3284
695;3314
696;3151
697;3209
698;3282
699;3096
700;3281
701;3278
702;3097
703;3315
704;3279
705;3100
706;3282
707;4505
708;2909
709;3206
710;3281
711;3036
712;3282
713;3280
714;3036
715;3283
716;3283
717;3006
718;3283
719;3280
720;3068
721;3253
722;3647
723;3318
724;3281
725;3280
726;2995
727;3234
728;3312
729;3007
730;3284
731;3281
732;2954
733;3191
734;3281
735;3069
736;3198
737;3281
738;3252
739;6714
740;3209
741;3369
742;3280
743;2950
744;3194
745;3279
746;3021
747;3276
748;3310
749;3004
750;3297
751;3281
752;3141
753;3129
754;3281
755;3176
756;3276
757;3282
758;3038
759;3199
760;3280
761;3037
762;3159
763;3281
764;3097
765;3188
766;3281
767;3097
768;3250
769;3282
770;3095
771;3310
772;3282
773;3312
774;3159
775;3281
776;3263
777;3249
778;3280
779;3289
780;3155
781;3280
782;3036
783;3169
784;3306
785;3098
786;3235
787;3306
788;3035
789;3343
790;3280
791;3097
792;3250
793;3312
794;3096
795;3249
796;3281
797;3098
798;3310
799;3864
800;3039
801;3254
802;3050
803;3063
804;3221
805;3281
806;3037
807;3306
808;3280
809;4928
810;3283
811;3280
812;3159
813;3283
814;3312
815;3214
816;3282
817;3281
818;3248
819;3283
820;3128
821;2789
822;3265
823;3283
824;3308
825;3250
826;3282
827;2944
828;3277
829;3871
830;3306
831;3314
832;3265
833;3250
834;3282
835;3284
836;3281
837;3283
838;3282
839;3229
840;3344
841;3097
842;3281
843;3282
844;4111
845;3341
846;3280
847;3253
848;3283
849;3280
850;3099
851;3315
852;3313
853;2860
854;3194
855;3312
856;3253
857;3282
858;3281
859;3404
860;3281
861;3280
862;3191
863;3280
864;3281
865;3187
866;3231
867;3342
868;2847
869;3281
870;4654
871;3230
872;3282
873;3416
874;3312
875;3286
876;3153
877;3367
878;3280
879;3098
880;3313
881;3280
882;3096
883;3279
884;3278
885;3477
886;3223
887;3280
888;3143
889;3280
890;3282
891;3037
892;3252
893;3280
894;3037
895;3250
896;3280
897;3036
898;3249
899;3281
900;3268
901;3317
902;3280
903;3378
904;3191
905;3280
906;3252
907;3280
908;3282
909;3221
910;3312
911;3280
912;3097
913;3282
914;3281
915;3260
916;3246
917;3281
918;3068
919;3360
920;3220
921;2978
922;3210
923;3280
924;2942
925;3202
926;3282
927;3009
928;3289
929;3282
930;3036
931;3221
932;3282
933;3624
934;3283
935;3281
936;3068
937;3198
938;3282
939;3040
940;3342
941;3281
942;2950
943;3197
944;3282
945;3098
946;3139
947;3280
948;3036
949;3107
950;3343
951;3037
952;3169
953;3281
954;3097
955;3191
956;3281
957;3097
958;3282
959;3281
960;3097
961;3249
962;3282
963;3097
964;3306
965;3281
966;3325
967;3282
968;3279
969;2891
970;3280
971;4076
972;3097
973;3199
974;3280
975;2889
976;3282
977;3281
978;2899
979;3489
980;3312
981;2889
982;3226
983;3282
984;2943
985;3723
986;3312
987;3012
988;3295
989;4106
990;3006
991;3282
992;3313
993;3190
994;3199
995;3282
996;3161
997;3281
998;3281
999;3037
1000;3416
1001;3281
1002;2946
1003;3282
1004;3495
1005;3015
1006;3280
1007;3280
1008;3128
1009;3359
1010;3311
1011;2960
1012;3410
1013;3314
1014;2882
1015;3312
1016;3282
1017;3047
1018;3281
1019;3279
1020;2914
1021;3282
1022;3280
1023;2914
1024;3286
1025;3281
1026;2884
1027;3280
1028;3311
1029;3190
1030;3313
1031;3280
1032;2995
1033;3281
1034;3282
1035;3189
1036;3588
1037;3281
1038;2944
1039;3251
1040;3281
1041;3097
1042;3278
1043;3280
1044;2804
1045;3127
1046;3279
1047;3036
1048;3280
1049;3281
1050;2885
1051;3195
1052;3280
1053;3294
1054;3249
1055;3311
1056;3336
1057;3274
1058;3272
1059;2909
1060;3184
1061;3272
1062;3236
1063;3189
1064;3271
1065;3028
1066;3276
1067;3304
1068;3029
1069;3305
1070;3271
1071;2938
1072;3188
1073;3334
1074;3075
1075;3174
1076;3271
1077;3027
1078;3303
1079;3337
1080;3028
1081;3241
1082;3275
1083;3030
1084;3271
1085;3212
1086;3120
1087;3302
1088;3271
1089;3088
1090;3148
1091;3272
1092;3088
1093;3271
1094;3272
1095;3089
1096;3273
1097;3304
1098;3091
1099;6489
1100;3289
1101;3345
1102;3272
1103;3089
1104;3209
1105;3303
1106;3090
1107;3273
1108;3273
1109;3120
1110;3211
1111;3334
1112;3090
1113;3306
1114;3273
1115;3089
1116;3274
1117;3272
